DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA,round,tv_name,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,gp_lgd_code,gp_name,n_gps_constrained,clean_gp_constrained,at_risk_gp_constrained,no_gp_constrained
9901.0,29.012098,73.071267,U,RAJASTHAN,Ganganagar,NFHS5,3 STR,08,099,00463,066362,294631.0,3 Str,5,False,True,False
9902.0,29.448563,73.387603,R,RAJASTHAN,Ganganagar,NFHS5,47 NP,08,099,00461,065357,37864.0,Bagicha,7,False,True,False
9903.0,29.253959,73.565642,R,RAJASTHAN,Ganganagar,NFHS5,22 GB,08,099,00464,066566,37681.0,24 Gb,13,False,True,False
9904.0,29.528002,73.450291,U,RAJASTHAN,Ganganagar,NFHS5,Raisinghnagar,08,099,00461,800450,,,5,False,True,False
9905.0,29.21522,73.431273,R,RAJASTHAN,Ganganagar,NFHS5,4 DJM,08,099,00464,066454,37699.0,50 Gb,7,False,True,False
9906.0,29.937921,73.80548,R,RAJASTHAN,Ganganagar,NFHS5,11 Z,08,099,00458,064461,37745.0,9 Z,11,False,True,False
9907.0,29.909214,73.830969,R,RAJASTHAN,Ganganagar,NFHS5,8 Z,08,099,00458,064485,37733.0,10 Z,15,False,True,False
9908.0,29.555335,73.749414,R,RAJASTHAN,Ganganagar,NFHS5,Ghamandia Barani,08,099,00460,065058,37835.0,69 Lnp,9,False,True,False
9909.0,29.188739,73.941167,R,RAJASTHAN,Ganganagar,NFHS5,217 Rd,08,099,00465,066983,262894.0,Rayanwali,6,False,True,False
9910.0,29.800177,73.655739,R,RAJASTHAN,Ganganagar,NFHS5,29 GG,08,099,00458,064580,,,10,False,True,False
9911.0,30.035832,73.863966,R,RAJASTHAN,Ganganagar,NFHS5,2 F,08,099,00458,064376,37757.0,Khatlabana,9,False,True,False
9912.0,29.261623,73.192115,R,RAJASTHAN,Ganganagar,NFHS5,3 APM,08,099,00462,065611,37726.0,90 Gb,5,False,True,False
9913.0,29.216846,73.480347,R,RAJASTHAN,Ganganagar,NFHS5,38 GB,08,099,00464,066518,37694.0,42 Gb,9,False,True,False
9914.0,29.202239,73.705283,R,RAJASTHAN,Ganganagar,NFHS5,Hardaswali Barani,08,099,00465,066885,37934.0,Birmana,6,False,True,False
9915.0,28.862049,72.915402,R,RAJASTHAN,Ganganagar,NFHS5,6 PSD-A,08,099,00463,066025,37725.0,9 Psd A,7,False,True,False
9916.0,29.711087,73.62799,U,RAJASTHAN,Ganganagar,NFHS5,24 BB  (Rural),08,099,00460,064935,37816.0,20 Bb A,4,False,True,False
9917.0,29.890805,73.93251,R,RAJASTHAN,Ganganagar,NFHS5,7 LNP,08,099,00458,064475,37760.0,6lnp,14,False,True,False
9918.0,29.907039,73.858453,U,RAJASTHAN,Ganganagar,NFHS5,1 A,08,099,00458,064482,262736.0,5 E Chhoti,5,False,True,False
9919.0,29.052244,73.058367,R,RAJASTHAN,Ganganagar,NFHS5,15 MD,08,099,00462,065826,37658.0,13 MD,8,False,True,False
