DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA,round,tv_name,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,gp_lgd_code,gp_name,n_gps_constrained,clean_gp_constrained,at_risk_gp_constrained,no_gp_constrained
330736.0,30.108746817,77.687060257,R,UTTAR PRADESH,Saharanpur,NFHS4,Jhijholi Mahmoodpur,09,132,00701,109159,,,0,False,False,True
335387.0,29.943517333,77.738296148,R,UTTAR PRADESH,Saharanpur,NFHS4,Dhala Mazra,09,132,00702,109358,,,0,False,False,True
334012.0,30.129076271,77.685643024,R,UTTAR PRADESH,Saharanpur,NFHS4,Anwarpur Barauli,09,132,00701,109152,,,0,False,False,True
332530.0,29.984292367,77.661011123,R,UTTAR PRADESH,Saharanpur,NFHS4,Tiwaya Aht.,09,132,00702,109300,,,0,False,False,True
330376.0,29.864813128,77.71463784,R,UTTAR PRADESH,Saharanpur,NFHS4,Allanpur Atla Kheri Urf Dhonko,09,132,00704,110055,,,0,False,False,True
332398.0,30.077705393,77.675015908,R,UTTAR PRADESH,Saharanpur,NFHS4,Mirzapur Puzneki,09,132,00701,109162,,,0,False,False,True
330907.0,29.939047856,77.270252745,R,UTTAR PRADESH,Saharanpur,NFHS4,Mugal Mazra,09,132,00703,109704,,,0,False,False,True
330332.0,29.782113391,77.456424874,R,UTTAR PRADESH,Saharanpur,NFHS4,Tipra,09,132,00705,110356,,,0,False,False,True
333425.0,30.090551071,77.6696656,R,UTTAR PRADESH,Saharanpur,NFHS4,Balupur Kadeem,09,132,00701,109160,,,0,False,False,True
332833.0,29.864041645,77.446584761,R,UTTAR PRADESH,Saharanpur,NFHS4,Naya Gaon,09,132,00702,109389,,,0,False,False,True
330326.0,29.750784817,77.455784799,R,UTTAR PRADESH,Saharanpur,NFHS4,Sona Arjunpur,09,132,00705,110339,,,0,False,False,True
331125.0,29.656684281,77.693598483,R,UTTAR PRADESH,Saharanpur,NFHS4,Jadauda Jatt,09,132,00704,110230,,,0,False,False,True
333966.0,29.724686986,77.332265376,R,UTTAR PRADESH,Saharanpur,NFHS4,Dhola Fatehpur,09,132,00703,110022,,,0,False,False,True
333899.0,30.068876122,77.572852298,R,UTTAR PRADESH,Saharanpur,NFHS4,Mala Hedi,09,132,00702,109209,,,0,False,False,True
335232.0,30.140695272,77.692927941,R,UTTAR PRADESH,Saharanpur,NFHS4,Dadwa,09,132,00701,109108,,,0,False,False,True
335434.0,29.684519934,77.199779818,R,UTTAR PRADESH,Saharanpur,NFHS4,Chausana Vishat Aht.,09,133,00706,110463,,,0,False,False,True
331689.0,29.624843983,77.745520363,R,UTTAR PRADESH,Saharanpur,NFHS4,Kendki,09,132,00704,110217,,,0,False,False,True
333798.0,30.11028392,77.660853551,R,UTTAR PRADESH,Saharanpur,NFHS4,Pathoori,09,132,00701,109142,,,0,False,False,True
333143.0,29.91440427,77.263449593,R,UTTAR PRADESH,Saharanpur,NFHS4,Meerpur,09,132,00703,109837,,,0,False,False,True
335692.0,29.888297567,77.349072282,R,UTTAR PRADESH,Saharanpur,NFHS4,Amarpur,09,132,00703,109803,,,0,False,False,True
331837.0,29.748146185,77.273910441,R,UTTAR PRADESH,Saharanpur,NFHS4,Nizampura,09,132,00703,110008,,,0,False,False,True
333405.0,29.888188088,77.688851547,R,UTTAR PRADESH,Saharanpur,NFHS4,Pundain,09,132,00702,109490,,,0,False,False,True
336228.0,29.985828509,77.628948228,R,UTTAR PRADESH,Saharanpur,NFHS4,Sambalki Shek,09,132,00702,109297,,,0,False,False,True
335840.0,29.966591482,77.498151604,R,UTTAR PRADESH,Saharanpur,NFHS4,Roop Di Guzar,09,132,00702,109371,,,0,False,False,True
330851.0,29.675774848,77.528715922,R,UTTAR PRADESH,Saharanpur,NFHS4,Sisauna Jamalpur,09,132,00705,110441,,,0,False,False,True
335907.0,29.767015139,77.605573384,R,UTTAR PRADESH,Saharanpur,NFHS4,Suhagani,09,132,00704,110094,,,0,False,False,True
