DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
9901.0,U,Ganganagar,NFHS5,2000,37669.0,0.467,5,0,"{37669.0: 467, 294631.0: 445, 37680.0: 70, 262414.0: 11, 37673.0: 7}"
9902.0,R,Ganganagar,NFHS5,5000,37864.0,0.478,7,156,"{37864.0: 478, 37885.0: 119, 37867.0: 88, 37891.0: 70, 37890.0: 46, 37879.0: 40, 37860.0: 3}"
9903.0,R,Ganganagar,NFHS5,5000,37681.0,0.473,11,80,"{37681.0: 473, 37683.0: 174, 37663.0: 143, 37684.0: 36, 37950.0: 24, 37718.0: 22, 37651.0: 16, 37654.0: 15, 262682.0: 12, 37703.0: 4, 262893.0: 1}"
9904.0,U,Ganganagar,NFHS5,2000,37849.0,0.4,5,248,"{37849.0: 400, 37880.0: 268, 37852.0: 69, 37848.0: 13, 37891.0: 2}"
9905.0,R,Ganganagar,NFHS5,5000,37699.0,0.382,7,0,"{37699.0: 382, 37695.0: 231, 37693.0: 189, 37728.0: 134, 37661.0: 35, 37668.0: 22, 37694.0: 7}"
9906.0,R,Ganganagar,NFHS5,5000,37745.0,0.395,11,68,"{37745.0: 395, 37768.0: 125, 37764.0: 90, 37765.0: 80, 37733.0: 78, 37743.0: 47, 37736.0: 46, 37767.0: 34, 37741.0: 19, 37773.0: 11, 294628.0: 7}"
9907.0,R,Ganganagar,NFHS5,5000,37733.0,0.286,14,86,"{37733.0: 286, 37773.0: 188, 294628.0: 145, 37745.0: 131, 37743.0: 63, 37768.0: 26, 37736.0: 25, 262736.0: 24, 37765.0: 10, 37767.0: 5, 262730.0: 5, 37742.0: 3, 37772.0: 2, 37752.0: 1}"
9908.0,R,Ganganagar,NFHS5,5000,37835.0,0.386,8,54,"{37835.0: 386, 37834.0: 223, 37830.0: 159, 37843.0: 114, 37841.0: 29, 37837.0: 18, 37894.0: 11, 37815.0: 6}"
9909.0,R,Ganganagar,NFHS5,5000,37943.0,0.289,6,25,"{37943.0: 289, 37952.0: 225, 262894.0: 218, 37933.0: 211, 37963.0: 29, 37961.0: 3}"
9910.0,R,Ganganagar,NFHS5,5000,37755.0,0.354,10,207,"{37755.0: 354, 37823.0: 204, 37791.0: 88, 37827.0: 51, 37838.0: 38, 37735.0: 35, 37784.0: 12, 37738.0: 6, 37788.0: 3, 37748.0: 2}"
