DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA
10038.0,29.594138,74.326309,U,RAJASTHAN,Hanumangarh
10039.0,28.83133,74.768777,R,RAJASTHAN,Hanumangarh
10040.0,29.732118,74.440792,R,RAJASTHAN,Hanumangarh
10041.0,29.250514,74.856707,R,RAJASTHAN,Hanumangarh
10042.0,29.122102,74.868285,R,RAJASTHAN,Hanumangarh
10043.0,29.521536,73.956306,R,RAJASTHAN,Hanumangarh
10044.0,29.926642,74.428529,R,RAJASTHAN,Hanumangarh
10045.0,29.517548,74.542978,R,RAJASTHAN,Hanumangarh
10101.0,28.037567,73.300086,U,RAJASTHAN,Bikaner
10102.0,27.793085,73.531981,R,RAJASTHAN,Bikaner
10103.0,27.708467,73.087777,R,RAJASTHAN,Bikaner
10104.0,28.069473,73.375166,U,RAJASTHAN,Bikaner
10105.0,28.056668,73.779709,R,RAJASTHAN,Bikaner
10106.0,27.794015,73.064136,R,RAJASTHAN,Bikaner
10107.0,27.736659,73.691895,R,RAJASTHAN,Bikaner
10108.0,28.17589,73.296812,R,RAJASTHAN,Bikaner
10109.0,27.960197,73.670461,R,RAJASTHAN,Bikaner
10110.0,28.008746,73.288453,R,RAJASTHAN,Bikaner
10111.0,27.948776,73.55582,R,RAJASTHAN,Bikaner
10112.0,27.934466,73.97092,R,RAJASTHAN,Bikaner
10113.0,27.507178,72.874062,R,RAJASTHAN,Bikaner
10114.0,28.741617,73.78278,R,RAJASTHAN,Bikaner
10115.0,27.470092,73.321899,R,RAJASTHAN,Bikaner
10116.0,28.082714,73.317232,U,RAJASTHAN,Bikaner
10117.0,28.600627,72.544343,R,RAJASTHAN,Bikaner
10118.0,28.01927,73.311652,U,RAJASTHAN,Bikaner
10119.0,28.017965,73.296457,U,RAJASTHAN,Bikaner
10120.0,27.510304,73.204345,R,RAJASTHAN,Bikaner
10121.0,28.013407,73.337997,U,RAJASTHAN,Bikaner
10122.0,28.260395,73.066825,R,RAJASTHAN,Bikaner
10123.0,28.839868,72.623479,R,RAJASTHAN,Bikaner
10124.0,28.020364,73.322716,U,RAJASTHAN,Bikaner
10125.0,27.971581,72.619649,R,RAJASTHAN,Bikaner
10126.0,27.555965,73.462556,U,RAJASTHAN,Bikaner
10127.0,28.215241,73.289399,U,RAJASTHAN,Bikaner
10128.0,28.083086,73.991194,U,RAJASTHAN,Bikaner
10129.0,27.493976,73.070418,R,RAJASTHAN,Bikaner
10130.0,28.494638,73.767868,R,RAJASTHAN,Bikaner
10131.0,27.602861,73.454292,R,RAJASTHAN,Bikaner
10132.0,28.667598,73.179747,R,RAJASTHAN,Bikaner
10133.0,28.673835,72.689488,R,RAJASTHAN,Bikaner
10134.0,28.569607,73.518055,R,RAJASTHAN,Bikaner
10135.0,27.841883,72.695806,R,RAJASTHAN,Bikaner
10136.0,28.003655,73.308214,U,RAJASTHAN,Bikaner
10137.0,28.005075,73.325839,U,RAJASTHAN,Bikaner
10138.0,28.306597,73.461266,U,RAJASTHAN,Bikaner
10139.0,27.854654,73.134344,R,RAJASTHAN,Bikaner
10140.0,27.55215,73.475302,U,RAJASTHAN,Bikaner
10141.0,28.616428,73.088171,R,RAJASTHAN,Bikaner
10142.0,28.208837,74.284822,R,RAJASTHAN,Bikaner
10143.0,28.627016,72.999249,R,RAJASTHAN,Bikaner
10144.0,27.796448,73.477186,U,RAJASTHAN,Bikaner
10145.0,27.570309,73.419902,R,RAJASTHAN,Bikaner
10201.0,28.536932,74.417711,U,RAJASTHAN,Churu
10202.0,28.429209,74.952106,R,RAJASTHAN,Churu
10203.0,28.280973,74.798931,R,RAJASTHAN,Churu
10204.0,28.284659,74.952287,U,RAJASTHAN,Churu
10205.0,28.553482,74.916082,R,RAJASTHAN,Churu
10206.0,28.455174,75.35827,R,RAJASTHAN,Churu
10207.0,27.76716,74.143326,R,RAJASTHAN,Churu
10208.0,28.003153,74.301009,R,RAJASTHAN,Churu
10209.0,28.567024,75.127839,R,RAJASTHAN,Churu
10210.0,28.277628,74.523283,R,RAJASTHAN,Churu
10211.0,28.887072,75.283944,R,RAJASTHAN,Churu
10212.0,28.850313,75.342765,R,RAJASTHAN,Churu
10213.0,28.460749,75.488291,R,RAJASTHAN,Churu
10214.0,28.400039,74.260417,R,RAJASTHAN,Churu
10215.0,27.789194,74.448671,R,RAJASTHAN,Churu
10216.0,28.072758,74.64002,U,RAJASTHAN,Churu
10217.0,28.578882,75.609158,R,RAJASTHAN,Churu
10218.0,27.700647,74.439534,U,RAJASTHAN,Churu
10219.0,27.709848,74.462842,U,RAJASTHAN,Churu
10220.0,27.752183,74.170717,R,RAJASTHAN,Churu
10221.0,28.619496,75.368328,U,RAJASTHAN,Churu
10222.0,27.663876,74.272502,R,RAJASTHAN,Churu
10223.0,28.692877,75.179391,R,RAJASTHAN,Churu
10224.0,28.700131,74.706843,R,RAJASTHAN,Churu
10225.0,28.32489,75.067516,R,RAJASTHAN,Churu
10226.0,27.743398,74.465613,U,RAJASTHAN,Churu
10227.0,27.843286,74.319336,U,RAJASTHAN,Churu
10228.0,27.697727,74.456543,U,RAJASTHAN,Churu
10229.0,28.83783,75.305521,R,RAJASTHAN,Churu
10230.0,27.915198,74.558747,R,RAJASTHAN,Churu
10231.0,28.028178,74.673605,R,RAJASTHAN,Churu
10232.0,28.44041,75.011677,R,RAJASTHAN,Churu
10233.0,28.455631,75.5323,R,RAJASTHAN,Churu
10234.0,28.296895,74.827471,R,RAJASTHAN,Churu
10235.0,28.437963,74.196895,R,RAJASTHAN,Churu
10236.0,27.692471,74.477052,U,RAJASTHAN,Churu
10237.0,28.653594,75.039073,U,RAJASTHAN,Churu
10238.0,27.701274,74.463584,U,RAJASTHAN,Churu
10239.0,28.18508,74.437438,R,RAJASTHAN,Churu
10240.0,27.709395,74.162163,R,RAJASTHAN,Churu
10241.0,28.413512,75.161918,R,RAJASTHAN,Churu
10242.0,28.402217,74.623786,R,RAJASTHAN,Churu
10243.0,27.965952,74.700184,R,RAJASTHAN,Churu
10244.0,28.284065,74.957689,U,RAJASTHAN,Churu
10245.0,28.399038,75.335566,R,RAJASTHAN,Churu
10301.0,28.364407,75.590329,U,RAJASTHAN,Jhunjhunun
10302.0,28.042339,75.23385,R,RAJASTHAN,Jhunjhunun
