DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
290002.0,R,Sirohi,NFHS4,5000,262675.0,0.418,7,204,"{262675.0: 418, 41862.0: 152, 262676.0: 97, 41850.0: 71, 41861.0: 40, 41863.0: 12, 41852.0: 6}"
290003.0,R,Jodhpur,NFHS4,5000,39830.0,0.228,3,677,"{39830.0: 228, 39861.0: 91, 294585.0: 4}"
290004.0,R,Bundi,NFHS4,5000,262665.0,0.172,8,621,"{262665.0: 172, 36358.0: 162, 36250.0: 23, 36387.0: 11, 36213.0: 5, 36349.0: 3, 36217.0: 2, 36376.0: 1}"
290005.0,R,Bhilwara,NFHS4,5000,35867.0,0.24,10,0,"{35867.0: 240, 35832.0: 212, 236071.0: 152, 35826.0: 150, 35864.0: 91, 35853.0: 68, 35845.0: 47, 35840.0: 33, 35868.0: 4, 35834.0: 3}"
290006.0,R,Ajmer,NFHS4,5000,33730.0,0.644,5,39,"{33730.0: 644, 33721.0: 130, 33725.0: 108, 33734.0: 48, 293952.0: 31}"
290009.0,R,Sikar,NFHS4,5000,41761.0,0.22,11,150,"{41761.0: 220, 41744.0: 160, 236074.0: 97, 41736.0: 89, 41650.0: 85, 39592.0: 74, 41668.0: 70, 39577.0: 30, 41666.0: 11, 41647.0: 9, 41728.0: 5}"
290010.0,R,Hanumangarh,NFHS4,5000,38091.0,0.606,5,9,"{38091.0: 606, 38037.0: 129, 38030.0: 100, 38032.0: 92, 38042.0: 64}"
290011.0,R,Jhunjhunun,NFHS4,5000,39408.0,0.42,10,177,"{39408.0: 420, 39447.0: 143, 39394.0: 82, 39398.0: 52, 39440.0: 31, 39441.0: 28, 39442.0: 28, 39412.0: 20, 39407.0: 12, 39399.0: 7}"
290012.0,R,Tonk,NFHS4,5000,41999.0,0.487,8,24,"{41999.0: 487, 42035.0: 211, 42022.0: 96, 42029.0: 78, 42014.0: 45, 42006.0: 37, 42038.0: 14, 42020.0: 8}"
290013.0,R,Nagaur,NFHS4,5000,40420.0,0.528,10,23,"{40420.0: 528, 40383.0: 197, 40527.0: 55, 40412.0: 54, 40426.0: 48, 40389.0: 47, 40535.0: 22, 40482.0: 20, 40502.0: 5, 40396.0: 1}"
290017.0,R,Banswara,NFHS4,5000,34395.0,0.302,12,170,"{34395.0: 302, 34383.0: 161, 34371.0: 114, 34378.0: 71, 294728.0: 40, 34396.0: 39, 34374.0: 37, 262420.0: 24, 262311.0: 19, 262313.0: 11, 34381.0: 9, 34373.0: 3}"
290018.0,R,Sawai Madhopur,NFHS4,5000,41468.0,0.407,7,53,"{41468.0: 407, 41437.0: 186, 41457.0: 159, 41440.0: 89, 41469.0: 75, 41458.0: 18, 41459.0: 13}"
290022.0,R,Dhaulpur,NFHS4,5000,37288.0,0.369,12,109,"{37288.0: 369, 37305.0: 120, 37302.0: 113, 37312.0: 73, 37293.0: 63, 37287.0: 54, 294047.0: 53, 37317.0: 17, 37311.0: 14, 37298.0: 8, 262382.0: 6, 262428.0: 1}"
290024.0,R,Baran,NFHS4,5000,34728.0,0.321,8,16,"{34728.0: 321, 34726.0: 159, 34710.0: 141, 34711.0: 126, 34698.0: 104, 34717.0: 64, 34701.0: 50, 34703.0: 19}"
290025.0,R,Hanumangarh,NFHS4,5000,38190.0,0.637,4,0,"{38190.0: 637, 37936.0: 226, 262297.0: 126, 38157.0: 11}"
290026.0,R,Bharatpur,NFHS4,5000,35555.0,0.356,9,183,"{35555.0: 356, 35577.0: 114, 35551.0: 98, 35557.0: 96, 35553.0: 58, 35573.0: 57, 35562.0: 22, 35574.0: 11, 35554.0: 5}"
290028.0,R,Rajsamand,NFHS4,5000,41134.0,0.457,7,25,"{41134.0: 457, 35874.0: 153, 35882.0: 109, 41126.0: 105, 41132.0: 73, 41176.0: 46, 41128.0: 32}"
290029.0,R,Jodhpur,NFHS4,5000,39871.0,0.234,3,527,"{39871.0: 234, 39827.0: 175, 262500.0: 64}"
290030.0,R,Hanumangarh,NFHS4,5000,38064.0,0.326,6,0,"{38064.0: 326, 38057.0: 230, 38045.0: 203, 294703.0: 143, 38087.0: 90, 38114.0: 8}"
290031.0,R,Bundi,NFHS4,5000,36255.0,0.457,10,2,"{36255.0: 457, 36296.0: 145, 36262.0: 121, 36292.0: 95, 36277.0: 94, 36264.0: 41, 36258.0: 19, 36295.0: 14, 36276.0: 9, 36259.0: 3}"
290032.0,R,Jaisalmer,NFHS4,5000,,0.0,0,1000,{}
290033.0,R,Alwar,NFHS4,5000,262828.0,0.316,12,49,"{262828.0: 316, 262829.0: 205, 34280.0: 98, 34285.0: 88, 34283.0: 64, 34272.0: 49, 293949.0: 43, 34289.0: 37, 34000.0: 18, 34284.0: 15, 262087.0: 14, 34290.0: 4}"
290034.0,R,Sirohi,NFHS4,5000,41923.0,0.479,10,0,"{41923.0: 479, 41927.0: 174, 41935.0: 97, 41917.0: 71, 41937.0: 58, 41916.0: 55, 41911.0: 36, 41922.0: 11, 41914.0: 10, 41943.0: 9}"
290035.0,R,Baran,NFHS4,5000,34778.0,0.42,10,0,"{34778.0: 420, 34769.0: 169, 34777.0: 151, 34780.0: 121, 34764.0: 95, 34763.0: 17, 34761.0: 9, 34772.0: 9, 34779.0: 8, 34758.0: 1}"
290036.0,R,Sawai Madhopur,NFHS4,5000,41512.0,0.305,13,0,"{41512.0: 305, 41489.0: 197, 41473.0: 108, 294096.0: 88, 294095.0: 83, 41502.0: 77, 41506.0: 76, 41481.0: 21, 294104.0: 17, 41501.0: 17, 41516.0: 5, 41504.0: 5, 41490.0: 1}"
290037.0,R,Pratapgarh,NFHS4,5000,295164.0,0.377,10,4,"{295164.0: 377, 295162.0: 210, 36739.0: 171, 36742.0: 91, 295175.0: 40, 36757.0: 34, 295207.0: 27, 295184.0: 22, 36727.0: 19, 295189.0: 5}"
290039.0,R,Hanumangarh,NFHS4,5000,38150.0,0.423,5,0,"{38150.0: 423, 38156.0: 279, 38188.0: 256, 38183.0: 33, 38181.0: 9}"
290045.0,R,Hanumangarh,NFHS4,5000,38167.0,0.537,3,0,"{38167.0: 537, 38192.0: 402, 38152.0: 61}"
