DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
330736.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335387.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
334012.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
332530.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
330376.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
332398.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
330907.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
330332.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333425.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
332833.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
330326.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331125.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333966.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333899.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335232.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335434.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331689.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333798.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333143.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335692.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331837.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333405.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
336228.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335840.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
330851.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335907.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331510.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331572.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335858.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
334038.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
332895.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335872.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335065.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
332356.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335171.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335749.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335905.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331291.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335114.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
334814.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
335455.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
333759.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
331832.0,R,Saharanpur,NFHS4,5000,,0.0,0,1000,{}
334221.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
330073.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332626.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335086.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332405.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335542.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334834.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
331750.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
331516.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332440.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335229.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
330249.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334182.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335194.0,R,Muzaffarnagar,NFHS4,5000,48609.0,0.036,5,893,"{48609.0: 36, 48580.0: 32, 48574.0: 30, 48584.0: 7, 48579.0: 2}"
334077.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334439.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
330519.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332155.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332503.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
333012.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335195.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335332.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334289.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332213.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
330588.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332265.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
332704.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334051.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334293.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
334391.0,R,Muzaffarnagar,NFHS4,5000,,0.0,0,1000,{}
335731.0,R,Bijnor,NFHS4,5000,55267.0,0.218,22,334,"{55267.0: 218, 54952.0: 79, 54773.0: 75, 265591.0: 65, 55232.0: 61, 55229.0: 58, 55258.0: 25, 55254.0: 15, 54931.0: 9, 54954.0: 9, 55212.0: 8, 54934.0: 7, 54929.0: 7, 54941.0: 7, 264926.0: 6, 54799.0: 5, 54774.0: 4, 54763.0: 3, 265597.0: 2, 55211.0: 1, 54785.0: 1, 270296.0: 1}"
333275.0,R,Bijnor,NFHS4,5000,55305.0,0.091,35,193,"{55305.0: 91, 55201.0: 80, 55297.0: 56, 55200.0: 52, 55271.0: 44, 55293.0: 38, 55270.0: 36, 270242.0: 36, 55226.0: 34, 55227.0: 31, 270288.0: 29, 270244.0: 25, 55235.0: 25, 55243.0: 23, 270297.0: 22, 55239.0: 20, 55241.0: 20, 55214.0: 16, 55286.0: 15, 55248.0: 14, 55294.0: 14, 55203.0: 11, 55285.0: 11, 55262.0: 9, 55247.0: 9, 55290.0: 8, 270245.0: 7, 55237.0: 7, 55299.0: 5, 55193.0: 5, 270240.0: 4, 55209.0: 4, 55255.0: 3, 55261.0: 2, 55175.0: 1}"
330465.0,R,Bijnor,NFHS4,5000,55078.0,0.157,25,161,"{55078.0: 157, 55003.0: 76, 55087.0: 57, 55047.0: 49, 55120.0: 46, 55105.0: 45, 55007.0: 44, 55117.0: 40, 55057.0: 37, 55119.0: 35, 266748.0: 32, 55011.0: 28, 55094.0: 26, 54973.0: 26, 55122.0: 25, 55114.0: 24, 55009.0: 21, 55017.0: 15, 54996.0: 12, 54986.0: 12, 55026.0: 12, 266754.0: 8, 55037.0: 5, 241882.0: 4, 54972.0: 3}"
333013.0,R,Bijnor,NFHS4,5000,55480.0,0.152,39,88,"{55480.0: 152, 55466.0: 70, 269518.0: 68, 55438.0: 57, 269080.0: 54, 55477.0: 54, 269284.0: 48, 55487.0: 31, 245627.0: 27, 55421.0: 27, 55430.0: 26, 55425.0: 25, 55432.0: 25, 55481.0: 24, 55405.0: 24, 269127.0: 20, 269087.0: 19, 269093.0: 17, 55461.0: 15, 55416.0: 15, 245623.0: 12, 55175.0: 11, 245624.0: 10, 55462.0: 9, 266981.0: 9, 55408.0: 9, 245622.0: 8, 269102.0: 7, 55163.0: 7, 55428.0: 7, 269085.0: 5, 266970.0: 5, 55193.0: 4, 55458.0: 3, 269510.0: 3, 269095.0: 2, 55261.0: 1, 55450.0: 1, 269503.0: 1}"
334696.0,R,Bijnor,NFHS4,5000,55291.0,0.091,48,261,"{55291.0: 91, 270185.0: 69, 55304.0: 41, 55242.0: 40, 270168.0: 39, 55259.0: 28, 55244.0: 24, 55213.0: 24, 55216.0: 23, 55238.0: 21, 55210.0: 19, 55225.0: 18, 55247.0: 18, 270204.0: 16, 55233.0: 16, 270180.0: 15, 55221.0: 14, 270176.0: 14, 55228.0: 14, 55277.0: 14, 55199.0: 14, 270186.0: 14, 55287.0: 14, 55252.0: 13, 55282.0: 11, 55263.0: 11, 55303.0: 9, 55518.0: 8, 270182.0: 7, 55266.0: 7, 55256.0: 7, 270169.0: 7, 55206.0: 6, 55272.0: 6, 55208.0: 5, 55255.0: 5, 55295.0: 4, 267343.0: 4, 55525.0: 4, 55310.0: 4, 55269.0: 4, 270210.0: 4, 55224.0: 3, 55533.0: 3, 55497.0: 2, 270216.0: 2, 55298.0: 2, 55275.0: 1}"
333691.0,R,Bijnor,NFHS4,5000,54989.0,0.199,29,117,"{54989.0: 199, 54979.0: 131, 54966.0: 79, 54967.0: 63, 54965.0: 46, 55037.0: 34, 55035.0: 32, 54991.0: 30, 241845.0: 26, 54996.0: 23, 55042.0: 20, 54990.0: 19, 55031.0: 18, 55018.0: 17, 54970.0: 17, 55017.0: 16, 54992.0: 16, 55033.0: 14, 55007.0: 13, 54964.0: 13, 55008.0: 11, 55019.0: 9, 55026.0: 8, 54998.0: 7, 241882.0: 7, 266651.0: 6, 55015.0: 5, 55005.0: 3, 55014.0: 1}"
330449.0,R,Bijnor,NFHS4,5000,270216.0,0.061,25,572,"{270216.0: 61, 55217.0: 49, 55231.0: 41, 55219.0: 39, 55211.0: 30, 55250.0: 29, 270296.0: 18, 270289.0: 17, 55212.0: 16, 55295.0: 16, 55251.0: 13, 55262.0: 12, 55258.0: 12, 55309.0: 12, 270239.0: 12, 55245.0: 10, 270203.0: 6, 55247.0: 6, 55204.0: 5, 55246.0: 5, 55310.0: 5, 55252.0: 5, 55287.0: 3, 55299.0: 3, 55238.0: 3}"
330872.0,R,Bijnor,NFHS4,5000,55639.0,0.215,36,44,"{55639.0: 215, 55663.0: 60, 55587.0: 55, 55600.0: 49, 55652.0: 47, 55579.0: 37, 55602.0: 36, 55567.0: 32, 55660.0: 30, 54947.0: 30, 55636.0: 29, 55509.0: 28, 55496.0: 24, 55591.0: 24, 55556.0: 22, 55620.0: 20, 54913.0: 19, 55495.0: 19, 55594.0: 17, 55651.0: 17, 54955.0: 15, 55603.0: 14, 55673.0: 14, 55506.0: 14, 54949.0: 13, 55592.0: 12, 270047.0: 12, 55628.0: 11, 55624.0: 10, 270063.0: 9, 54894.0: 7, 267353.0: 5, 55520.0: 3, 55611.0: 3, 54957.0: 3, 55640.0: 1}"
334669.0,R,Bijnor,NFHS4,5000,55103.0,0.212,24,221,"{55103.0: 212, 55129.0: 100, 55131.0: 54, 266743.0: 48, 55072.0: 42, 55065.0: 40, 55086.0: 39, 266793.0: 37, 55134.0: 25, 55091.0: 23, 55082.0: 22, 266729.0: 22, 55060.0: 21, 266724.0: 20, 55112.0: 17, 55123.0: 15, 55070.0: 14, 55089.0: 8, 55116.0: 5, 266756.0: 5, 266733.0: 4, 264959.0: 3, 55106.0: 2, 238703.0: 1}"
