DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
13408.0,R,Bijnor,NFHS5,5000,267230.0,0.208,26,266,"{267230.0: 208, 55311.0: 86, 55399.0: 72, 267213.0: 53, 55394.0: 45, 55371.0: 38, 55318.0: 33, 55339.0: 29, 55363.0: 25, 55393.0: 22, 55368.0: 19, 55401.0: 16, 267212.0: 15, 55372.0: 14, 55330.0: 14, 55388.0: 13, 55316.0: 10, 55378.0: 6, 55375.0: 6, 55320.0: 3, 55392.0: 2, 55341.0: 1, 267186.0: 1, 55395.0: 1, 55402.0: 1, 55373.0: 1}"
13409.0,R,Bijnor,NFHS5,5000,270186.0,0.17,45,48,"{270186.0: 170, 270168.0: 57, 270210.0: 54, 55272.0: 47, 55206.0: 37, 55233.0: 34, 55259.0: 31, 55291.0: 30, 55575.0: 29, 270207.0: 28, 55264.0: 27, 55221.0: 26, 55525.0: 24, 55253.0: 24, 55498.0: 20, 270213.0: 20, 267321.0: 20, 55257.0: 20, 55268.0: 19, 55242.0: 17, 55497.0: 17, 55304.0: 15, 270169.0: 15, 55228.0: 14, 55298.0: 14, 55282.0: 13, 55514.0: 13, 55244.0: 13, 270180.0: 12, 245665.0: 12, 55518.0: 11, 55279.0: 9, 55263.0: 9, 55269.0: 9, 55213.0: 7, 267343.0: 7, 270185.0: 5, 55288.0: 4, 55533.0: 4, 55540.0: 3, 55519.0: 3, 55284.0: 3, 270176.0: 3, 55303.0: 2, 55142.0: 1}"
13410.0,R,Bijnor,NFHS5,5000,54871.0,0.072,36,486,"{54871.0: 72, 54837.0: 45, 54810.0: 43, 54855.0: 38, 54821.0: 36, 54840.0: 26, 54842.0: 24, 54870.0: 24, 54824.0: 20, 54817.0: 18, 268039.0: 15, 54857.0: 14, 54825.0: 13, 54826.0: 11, 54815.0: 10, 54844.0: 10, 54851.0: 9, 268103.0: 9, 54832.0: 8, 54867.0: 8, 54807.0: 7, 54811.0: 6, 54864.0: 5, 54816.0: 5, 54820.0: 5, 54830.0: 5, 268101.0: 5, 54843.0: 5, 54858.0: 5, 54813.0: 3, 54827.0: 3, 54945.0: 2, 268160.0: 2, 268078.0: 1, 268196.0: 1, 54872.0: 1}"
13411.0,R,Bijnor,NFHS5,5000,55672.0,0.151,30,94,"{55672.0: 151, 55580.0: 82, 55629.0: 79, 55583.0: 59, 55598.0: 43, 268420.0: 43, 55618.0: 42, 55627.0: 37, 55671.0: 32, 55649.0: 32, 55656.0: 31, 55597.0: 31, 55604.0: 30, 55607.0: 30, 55617.0: 26, 55657.0: 26, 55653.0: 17, 268278.0: 17, 55661.0: 15, 55676.0: 13, 55616.0: 12, 55631.0: 10, 55596.0: 10, 55644.0: 8, 55585.0: 8, 55615.0: 7, 55601.0: 6, 55594.0: 4, 55654.0: 3, 55670.0: 2}"
13412.0,R,Bijnor,NFHS5,5000,267213.0,0.098,26,286,"{267213.0: 98, 55388.0: 71, 55311.0: 71, 55371.0: 69, 55356.0: 59, 55363.0: 56, 55393.0: 52, 55361.0: 48, 267230.0: 30, 55401.0: 22, 55391.0: 17, 55369.0: 15, 55394.0: 15, 55374.0: 13, 55399.0: 12, 55143.0: 12, 55354.0: 11, 55358.0: 10, 55339.0: 9, 55319.0: 8, 55395.0: 7, 55325.0: 3, 267186.0: 3, 55312.0: 1, 55402.0: 1, 55173.0: 1}"
13413.0,R,Bijnor,NFHS5,5000,54762.0,0.273,25,126,"{54762.0: 273, 54765.0: 106, 54756.0: 85, 54777.0: 59, 267974.0: 52, 264925.0: 40, 54772.0: 36, 271157.0: 29, 54804.0: 26, 54769.0: 22, 264922.0: 19, 264920.0: 18, 54796.0: 17, 267968.0: 16, 245610.0: 14, 54767.0: 11, 54933.0: 9, 54800.0: 8, 54755.0: 7, 54805.0: 7, 54895.0: 7, 245612.0: 4, 54779.0: 3, 54918.0: 3, 54761.0: 3}"
13414.0,R,Bijnor,NFHS5,5000,55091.0,0.125,26,49,"{55091.0: 125, 55131.0: 123, 55103.0: 71, 55112.0: 62, 266756.0: 61, 55085.0: 55, 55108.0: 49, 55064.0: 45, 266724.0: 43, 55089.0: 41, 55074.0: 37, 55086.0: 35, 55065.0: 33, 55129.0: 32, 266733.0: 30, 55124.0: 25, 55106.0: 20, 55099.0: 17, 55075.0: 15, 55118.0: 15, 55059.0: 9, 266743.0: 3, 55088.0: 2, 55098.0: 1, 55058.0: 1, 55049.0: 1}"
13415.0,R,Bijnor,NFHS5,5000,55352.0,0.135,34,82,"{55352.0: 135, 241779.0: 90, 55398.0: 64, 55376.0: 63, 55387.0: 50, 55397.0: 49, 55364.0: 35, 55341.0: 34, 55337.0: 30, 55329.0: 28, 55320.0: 28, 55350.0: 25, 55340.0: 25, 267182.0: 22, 55313.0: 20, 55377.0: 20, 55382.0: 19, 55343.0: 18, 55375.0: 17, 55315.0: 17, 55348.0: 16, 241780.0: 15, 55342.0: 14, 55372.0: 14, 55326.0: 14, 55370.0: 11, 55379.0: 11, 267177.0: 8, 55371.0: 8, 55327.0: 6, 55378.0: 6, 55333.0: 3, 55386.0: 2, 55366.0: 1}"
13417.0,R,Bijnor,NFHS5,5000,54856.0,0.136,41,148,"{54856.0: 136, 54820.0: 84, 54846.0: 54, 54957.0: 49, 54840.0: 38, 55611.0: 34, 54841.0: 34, 54842.0: 33, 54812.0: 30, 55651.0: 28, 268039.0: 28, 54845.0: 26, 54913.0: 26, 54863.0: 19, 54866.0: 19, 54872.0: 19, 54867.0: 18, 54883.0: 16, 54949.0: 15, 54849.0: 15, 54851.0: 13, 54818.0: 12, 54835.0: 11, 54822.0: 10, 54865.0: 9, 268107.0: 9, 54870.0: 9, 54824.0: 8, 55624.0: 7, 54843.0: 7, 54827.0: 7, 265594.0: 6, 55620.0: 4, 54951.0: 3, 54825.0: 3, 54821.0: 3, 55652.0: 3, 55613.0: 2, 54861.0: 2, 54926.0: 2, 54837.0: 1}"
13419.0,R,Bijnor,NFHS5,5000,54946.0,0.136,36,314,"{54946.0: 136, 265590.0: 80, 54959.0: 53, 54907.0: 44, 54903.0: 42, 54953.0: 36, 54936.0: 33, 54891.0: 32, 54906.0: 23, 54884.0: 20, 54943.0: 20, 54945.0: 19, 268103.0: 18, 54925.0: 18, 54939.0: 12, 54888.0: 12, 54830.0: 12, 54924.0: 11, 54900.0: 8, 54928.0: 7, 54951.0: 5, 54880.0: 5, 54832.0: 4, 54867.0: 4, 54837.0: 4, 54843.0: 4, 265588.0: 4, 54825.0: 4, 54950.0: 3, 54932.0: 3, 268107.0: 3, 54858.0: 2, 54937.0: 2, 268101.0: 1, 54921.0: 1, 54807.0: 1}"
13420.0,R,Bijnor,NFHS5,5000,245612.0,0.182,21,308,"{245612.0: 182, 271157.0: 113, 54802.0: 83, 264923.0: 63, 54769.0: 59, 245618.0: 28, 54933.0: 26, 54792.0: 21, 264922.0: 20, 267974.0: 14, 54895.0: 14, 54800.0: 13, 54768.0: 13, 54782.0: 11, 245610.0: 7, 54922.0: 7, 54762.0: 4, 54795.0: 4, 54918.0: 4, 54755.0: 3, 54764.0: 3}"
13422.0,R,Bijnor,NFHS5,5000,55673.0,0.149,35,68,"{55673.0: 149, 55602.0: 79, 55594.0: 64, 55660.0: 63, 55603.0: 58, 55600.0: 48, 55636.0: 48, 55639.0: 42, 55640.0: 41, 55591.0: 32, 55585.0: 28, 55663.0: 26, 55638.0: 26, 55620.0: 26, 268420.0: 23, 55661.0: 19, 55587.0: 19, 55652.0: 19, 55628.0: 16, 55611.0: 16, 55624.0: 14, 55651.0: 13, 55615.0: 12, 55656.0: 11, 270047.0: 7, 55649.0: 5, 55509.0: 5, 55670.0: 5, 55579.0: 4, 55648.0: 4, 55605.0: 3, 55607.0: 2, 55496.0: 2, 55592.0: 2, 54949.0: 1}"
