DHSREGNA,n_clusters,n_original_known,n_direct_known,n_fuzzy_samiti_available,n_working_known,n_used_original,n_used_direct,n_used_fuzzy_samiti,share_working_known
Jhunjhunun,32,20,21,2,23,20,1,2,0.71875
Ajmer,41,25,25,4,29,25,0,4,0.7073170731707317
Bhilwara,33,15,16,6,23,15,2,6,0.696969696969697
Pali,33,13,14,9,23,13,1,9,0.696969696969697
Udaipur,32,16,17,3,20,16,1,3,0.625
Baran,31,14,14,4,19,14,1,4,0.6129032258064516
Karauli,34,18,19,1,20,18,1,1,0.5882352941176471
Churu,30,13,15,2,17,13,2,2,0.5666666666666667
Bundi,32,13,13,5,18,13,0,5,0.5625
Chittaurgarh,32,13,13,5,18,13,0,5,0.5625
Bikaner,41,19,17,4,23,19,0,4,0.5609756097560976
Kota,40,19,19,2,22,19,1,2,0.55
Tonk,30,11,11,5,16,11,0,5,0.5333333333333333
Bharatpur,30,12,11,3,15,12,0,3,0.5
Sawai Madhopur,32,12,15,1,16,12,3,1,0.5
Pratapgarh,38,12,13,5,19,12,2,5,0.5
Ganganagar,31,9,10,5,15,9,1,5,0.4838709677419355
Rajsamand,36,10,11,5,17,10,2,5,0.4722222222222222
Alwar,32,10,13,2,15,10,3,2,0.46875
Jaipur,41,13,18,1,19,13,5,1,0.4634146341463415
Sirohi,33,11,11,4,15,11,0,4,0.45454545454545453
Jhalawar,35,13,14,1,15,13,1,1,0.42857142857142855
Dungarpur,40,15,15,2,17,15,0,2,0.425
Jalor,36,9,9,6,15,9,0,6,0.4166666666666667
Dausa,34,13,13,1,14,13,0,1,0.4117647058823529
Jaisalmer,37,11,13,1,15,11,3,1,0.40540540540540543
Sikar,30,10,10,1,11,10,0,1,0.36666666666666664
Nagaur,34,7,7,5,12,7,0,5,0.35294117647058826
Banswara,38,7,8,4,12,7,1,4,0.3157894736842105
Dhaulpur,33,10,10,0,10,10,0,0,0.30303030303030304
Jodhpur,42,9,10,1,11,9,1,1,0.2619047619047619
Barmer,40,10,9,0,10,10,0,0,0.25
Hanumangarh,33,5,5,3,8,5,0,3,0.24242424242424243
