DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA,round,tv_name,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,gp_lgd_code,gp_name,n_gps_constrained,clean_gp_constrained,at_risk_gp_constrained,no_gp_constrained,gp_distribution,has_cluster_to_village,gp_lgd_code_existing,has_existing_village_to_gp,village_name_from_village_file,district_from_village_file,subdistrict_from_village_file,gp_lgd_code_from_village_file,gp_name_from_village_file,has_village_to_gp_from_village_file,gp_lgd_code_best,has_any_village_to_gp,has_gp_to_reservation_history,coverage_status,gp_lgd_code_lookup2,gp_name_lgd,district_lgd,subdistrict_lgd,gp_norm,district_norm,subdistrict_norm,target_gp_name,target_gp_norm,dhs_district_hist_norm,lgd_district_hist_norm,res_gp_norm,res_district_hist_norm,n_res_rows,n_samitis,res_samitis,n_dose_values,dose_values,reservation_dose_n_candidate,reservation_dose_candidate,reserved_women_2005_candidate,reserved_women_2010_candidate,has_direct_gpname_dhsdistrict_reservation,has_combined_reservation,newly_recovered_by_direct_match,orig_reserved_women_2005,orig_reserved_women_2010,orig_reservation_2005,orig_reservation_2010,orig_reservation_dose_n,orig_reservation_dose,orig_match_stage,orig_gp_name_lgd,orig_district_lgd,orig_subdistrict_lgd,has_original_gp_lgd_match,fuzzy_samiti_reservation_dose,fuzzy_samiti_reservation_dose_n,fuzzy_samiti_reserved_women_2005,fuzzy_samiti_reserved_women_2010,fuzzy_samiti_reservation_2005,fuzzy_samiti_reservation_2010,fuzzy_samiti_gp_similarity,fuzzy_samiti_similarity,fuzzy_samiti_match_category,fuzzy_samiti_res_gp_display,fuzzy_samiti_res_samiti_display,has_fuzzy_samiti_match,working_match_source,working_reservation_dose,working_reservation_dose_n,working_reserved_women_2005,working_reserved_women_2010,working_reservation_2005,working_reservation_2010
291279.0,25.6998972028,75.6632478761,R,RAJASTHAN,Bundi,NFHS4,Roneeja,8,121,622,93696,36244.0,Roneeja,4,False,True,False,"{""36244"": 1.0}",True,36244,True,Roneeja,Bundi,Hindoli,36244,Roneeja,True,36244,True,False,3_gp_no_reservation_history,36244,Roneeja,Bundi,Hindoli,roneeja,bundi,hindoli,Roneeja,roneeja,bundi,bundi,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291280.0,25.249273949,71.1954240745,R,RAJASTHAN,Barmer,NFHS4,Tardon Ka Tala,8,115,584,88860,35109.0,Nawatala Rathoran,8,False,True,False,"{""35109"": 1.0}",True,35109,True,Tardon Ka Tala,Barmer,Dhanau,35109,Nawatala Rathoran,True,35109,True,False,3_gp_no_reservation_history,35109,Nawatala Rathoran,Barmer,Dhanau,nawatalarathoran,barmer,dhanau,Nawatala Rathoran,nawatalarathoran,barmer,barmer,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291282.0,25.224343364,73.3195440949,R,RAJASTHAN,Pali,NFHS4,Dantiwara,8,118,605,91288,40803.0,Bheetwara,6,False,True,False,"{""40803"": 1.0}",True,40803,True,Dantiwara,Pali,Bali,40803,Bheetwara,True,40803,True,False,3_gp_no_reservation_history,40803,Bheetwara,Pali,Bali,bheetwara,pali,bali,Bheetwara,bheetwara,pali,pali,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291283.0,25.3463340854,73.0223930391,R,RAJASTHAN,Pali,NFHS4,Gogra,8,118,604,91220,41102.0,Gogara,4,False,True,False,"{""41102"": 1.0}",True,41102,True,Gogra,Pali,Sumerpur,41102,Gogara,True,41102,True,False,3_gp_no_reservation_history,41102,Gogara,Pali,Sumerpur,gogara,pali,sumerpur,Gogara,gogara,pali,pali,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,never,0.0,0.0,0.0,OBC,GEN,0.9090909090909091,1.0,high_confidence_gp_and_exact_samiti,gogra,SUMERPUR,True,3_fuzzy_gpname_exact_or_close_samiti_match,never,0.0,0.0,0.0,OBC,GEN
291284.0,27.6839834748,76.0429131149,R,RAJASTHAN,Jaipur,NFHS4,Beri,8,110,538,79049,,,12,False,True,False,{},True,,False,Beri,Kotputli-Behror,Paota,38526,Purushottampura,True,38526,True,False,3_gp_no_reservation_history,38526,Purushottampura,Kotputli-Behror,Paota,purushottampura,kotputlibehror,paota,Purushottampura,purushottampura,jaipur,jaipur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291285.0,27.0241780538,74.1686693468,R,RAJASTHAN,Nagaur,NFHS4,Dotina,8,112,559,82781,40449.0,Dotina,8,False,True,False,"{""40449"": 1.0}",True,40449,True,Dotina,Nagaur,Jayal,40449,Dotina,True,40449,True,False,3_gp_no_reservation_history,40449,Dotina,Nagaur,Jayal,dotina,nagaur,jayal,Dotina,dotina,nagaur,nagaur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,never,0.0,0.0,0.0,GEN,OBC,1.0,1.0,high_confidence_gp_and_exact_samiti,dotina,JAYAL,True,3_fuzzy_gpname_exact_or_close_samiti_match,never,0.0,0.0,0.0,GEN,OBC
291286.0,27.6399174266,73.6310655575,R,RAJASTHAN,Bikaner,NFHS4,Himatsar,8,101,477,69654,36145.0,Himmatasar,5,False,True,False,"{""36145"": 1.0}",True,36145,True,Himmatasar,Bikaner,Nokha,36145,Himmatasar,True,36145,True,False,3_gp_no_reservation_history,36145,Himmatasar,Bikaner,Nokha,himmatasar,bikaner,nokha,Himmatasar,himmatasar,bikaner,bikaner,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,twice,2.0,1.0,1.0,SC W,GENW,0.9473684210526315,1.0,high_confidence_gp_and_exact_samiti,himmatsar,NOKHA,True,3_fuzzy_gpname_exact_or_close_samiti_match,twice,2.0,1.0,1.0,SC W,GENW
291287.0,25.1699261843,72.8045712582,R,RAJASTHAN,Sirohi,NFHS4,Jhadoli,8,117,592,89878,41953.0,Jhadoli,3,False,True,False,"{""41953"": 1.0}",True,41953,True,Jhadoli,Sirohi,Sheoganj,41953,Jhadoli,True,41953,True,True,4_full_coverage,41953,Jhadoli,Sirohi,Sheoganj,jhadoli,sirohi,sheoganj,Jhadoli,jhadoli,sirohi,sirohi,jhadoli,sirohi,1.0,1.0,pindwara,1.0,twice,2.0,twice,1.0,1.0,True,True,False,1.0,1.0,GEN W,SCW,2.0,twice,B_exact_gp_district,Jhadoli,Sirohi,Sheoganj,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,twice,2.0,1.0,1.0,GEN W,SCW
291288.0,27.465830638,73.2275122281,R,RAJASTHAN,Bikaner,NFHS4,Panchoo,8,101,477,69631,36166.0,Panchoo,3,False,True,False,"{""36166"": 1.0}",True,36166,True,Panchoo,Bikaner,Nokha,36166,Panchoo,True,36166,True,False,3_gp_no_reservation_history,36166,Panchoo,Bikaner,Bikaner,panchoo,bikaner,bikaner,Panchoo,panchoo,bikaner,bikaner,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
291289.0,27.9732570394,74.0773321474,R,RAJASTHAN,Bikaner,NFHS4,Khiyani Bas,8,101,480,69906,36185.0,Bana,4,False,True,False,"{""36185"": 1.0}",True,36185,True,Khiyani Bas,Bikaner,Sridungargarh,36185,Bana,True,36185,True,True,4_full_coverage,36185,Bana,Bikaner,Sridungargarh,bana,bikaner,sridungargarh,Bana,bana,bikaner,bikaner,bana,bikaner,2.0,1.0,dungargarh,1.0,once,1.0,once,1.0,0.0,True,True,False,1.0,0.0,SC W,GEN,1.0,once,B_exact_gp_district,Bana,Bikaner,Sridungargarh,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,once,1.0,1.0,0.0,SC W,GEN
291291.0,24.84840053,73.9428472376,R,RAJASTHAN,Rajsamand,NFHS4,Khema Khera,8,130,685,105417,42630.0,Varni,10,False,True,False,"{""42630"": 1.0}",True,42630,True,Khema Khera,Udaipur,Ghasa,42630,Varni,True,42630,True,False,3_gp_no_reservation_history,42630,Varni,Udaipur,Ghasa,varni,udaipur,ghasa,Varni,varni,rajsamand,udaipur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
