DHSREGNA,n_clusters,n_has_village,n_has_existing_gp,n_has_gp_from_village_file,n_has_any_gp,n_has_reservation_history,share_has_village,share_has_any_gp,share_has_reservation_history
Hanumangarh,34,34,32,33,33,5,1.0,0.9705882352941176,0.14705882352941177
Banswara,39,39,35,38,38,7,1.0,0.9743589743589743,0.1794871794871795
Nagaur,34,34,32,34,34,7,1.0,1.0,0.20588235294117646
Jodhpur,43,43,35,42,42,9,1.0,0.9767441860465116,0.20930232558139536
Jalor,39,39,32,36,36,9,1.0,0.9230769230769231,0.23076923076923078
Barmer,40,40,38,40,40,10,1.0,1.0,0.25
Rajsamand,36,36,34,36,36,10,1.0,1.0,0.2777777777777778
Alwar,35,35,31,32,32,10,1.0,0.9142857142857143,0.2857142857142857
Ganganagar,31,31,28,31,31,9,1.0,1.0,0.2903225806451613
Dhaulpur,34,34,32,33,33,10,1.0,0.9705882352941176,0.29411764705882354
Jaisalmer,37,37,34,37,37,11,1.0,1.0,0.2972972972972973
Jaipur,43,43,39,41,41,13,1.0,0.9534883720930233,0.3023255813953488
Pratapgarh,38,38,36,38,38,12,1.0,1.0,0.3157894736842105
Sikar,31,31,28,30,30,10,1.0,0.967741935483871,0.3225806451612903
Sirohi,34,34,32,33,33,11,1.0,0.9705882352941176,0.3235294117647059
Tonk,33,33,30,30,30,11,1.0,0.9090909090909091,0.3333333333333333
Dausa,37,37,32,34,34,13,1.0,0.918918918918919,0.35135135135135137
Bharatpur,34,34,29,30,30,12,1.0,0.8823529411764706,0.35294117647058826
Sawai Madhopur,34,34,32,32,32,12,1.0,0.9411764705882353,0.35294117647058826
Jhalawar,35,35,34,35,35,13,1.0,1.0,0.37142857142857144
Chittaurgarh,35,35,30,32,32,13,1.0,0.9142857142857143,0.37142857142857144
Dungarpur,40,40,38,40,40,15,1.0,1.0,0.375
Bundi,34,34,31,32,32,13,1.0,0.9411764705882353,0.38235294117647056
Pali,33,33,32,33,33,13,1.0,1.0,0.3939393939393939
Baran,34,34,28,31,31,14,1.0,0.9117647058823529,0.4117647058823529
Churu,30,30,28,30,30,13,1.0,1.0,0.43333333333333335
Bikaner,42,42,40,41,41,19,1.0,0.9761904761904762,0.4523809523809524
Kota,42,42,39,40,40,19,1.0,0.9523809523809523,0.4523809523809524
Bhilwara,33,33,33,33,33,15,1.0,1.0,0.45454545454545453
Udaipur,34,34,28,32,32,16,1.0,0.9411764705882353,0.47058823529411764
Karauli,36,36,31,34,34,18,1.0,0.9444444444444444,0.5
Ajmer,43,43,38,41,41,25,1.0,0.9534883720930233,0.5813953488372093
Jhunjhunun,33,33,29,32,32,20,1.0,0.9696969696969697,0.6060606060606061
