dhs_district_hist_norm,DHSREGNA,gp_lgd_code_best,target_gp_name,target_gp_norm,district_lgd,subdistrict_lgd,n_clusters_affected,sample_clusters,sample_villages,candidate_rank,candidate_found,similarity_score,res_gp_display,res_gp_norm,res_samiti_display,candidate_reservation_dose,candidate_reservation_dose_n,candidate_reserved_women_2005,candidate_reserved_women_2010,candidate_reservation_2005,candidate_reservation_2010,target_subdistrict_norm,candidate_samiti_norm,samiti_exact_match,samiti_similarity,samiti_close_match,high_gp_fuzzy_match,fuzzy_samiti_match_category
bikaner,Bikaner,36191,Dheerdesar Chotiyan,dheerdesarchotiyan,Bikaner,Sridungargarh,1,290599,Dheerdesar Chotiyan,1,True,0.9142857142857143,dhirdesar chotiyan,dhirdesarchotiyan,DUNGARGARH,never,0,0,0,GEN,GEN,sridungargarh,dungargarh,False,0.8695652173913043,True,True,high_confidence_gp_and_close_samiti
bikaner,Bikaner,36205,Seruna,seruna,Bikaner,Sridungargarh,1,290069,Sheruna,1,True,0.9230769230769231,sheruna,sheruna,DUNGARGARH,once,1,0,1,GEN,SCW,sridungargarh,dungargarh,False,0.8695652173913043,True,True,high_confidence_gp_and_close_samiti
bundi,Bundi,36213,Akoda,akoda,Bundi,Hindoli,1,290803,Siyana,1,True,0.9090909090909091,aakoda,aakoda,HINDOLI,never,0,0,0,GEN,SC,hindoli,hindoli,True,1.0,True,True,high_confidence_gp_and_exact_samiti
bundi,Bundi,36223,Chhabariyon Ka Naya Gaon,chhabariyonkanayagaon,Bundi,Hindoli,1,291078,Chhabariyon Ka Naya Gaon,1,True,0.9047619047619048,chhabadiyon ka nayawaon,chhabadiyonkanayawaon,HINDOLI,once,1,1,0,GEN W,GEN,hindoli,hindoli,True,1.0,True,True,high_confidence_gp_and_exact_samiti
bundi,Bundi,36300,Antarda,antarda,Bundi,Nainwa,1,290575,Arnetha,1,True,0.9333333333333333,aantarda,aantarda,NAINWA,once,1,0,1,OBC,STW,nainwa,nainwa,True,1.0,True,True,high_confidence_gp_and_exact_samiti
bundi,Bundi,36350,Dora,dora,Bundi,Talera,2,290141 | 291122,Bijari | Shyopuriya,1,True,1.0,dora,dora,TALERA,never,0,0,0,ST,GEN,talera,talera,True,1.0,True,True,high_confidence_gp_and_exact_samiti
chittorgarh,Chittaurgarh,36475,Samariyan Kalan,samariyankalan,Chittorgarh,Begun,1,290991,Gorlan,1,True,0.9629629629629629,samariya kalan,samariyakalan,BEGUN,once,1,1,0,GEN W,SC,begun,begun,True,1.0,True,True,high_confidence_gp_and_exact_samiti
chittorgarh,Chittaurgarh,36478,Akola Kalan,akolakalan,Chittorgarh,Bhadesar,1,290704,Fatehpura,1,True,0.9523809523809523,aakola kalan,aakolakalan,BHADESAR,never,0,0,0,GEN,GEN,bhadesar,bhadesar,True,1.0,True,True,high_confidence_gp_and_exact_samiti
chittorgarh,Chittaurgarh,36539,Nilodh,nilodh,Chittorgarh,Bhupalsagar,1,291022,Nilod,1,True,0.9090909090909091,nilod,nilod,BHOPALSAGAR,once,1,1,0,SC W,ST,bhupalsagar,bhopalsagar,False,0.9090909090909091,True,True,high_confidence_gp_and_close_samiti
chittorgarh,Chittaurgarh,36612,Bhatoli Bagriyan,bhatolibagriyan,Chittorgarh,Dungla,1,290052,Bhatoli Bagariyan,1,True,0.967741935483871,bhatoli bagariyan,bhatolibagariyan,DUNGLA,never,0,0,0,GEN,GEN,dungla,dungla,True,1.0,True,True,high_confidence_gp_and_exact_samiti
chittorgarh,Chittaurgarh,36614,Biloda,biloda,Chittorgarh,Dungla,1,290848,Bhana-Kheri,1,True,1.0,biloda,biloda,DUNGLA,twice,2,1,1,OBC W,OBCW,dungla,dungla,True,1.0,True,True,high_confidence_gp_and_exact_samiti
churu,Churu,36920,Bhukansar Chhota,bhukansarchhota,Churu,Sardarshahar,1,291499,Jetsisariya,1,True,0.9655172413793104,bukansar chhota,bukansarchhota,SARDAR SHAHAR,never,0,0,0,GEN,SC,sardarshahar,sardarshahar,True,1.0,True,True,high_confidence_gp_and_exact_samiti
churu,Churu,36939,Melusar,melusar,Churu,Sardarshahar,1,290747,Melusar,1,True,1.0,melusar,melusar,SARDAR SHAHAR,once,1,0,1,SC,GENW,sardarshahar,sardarshahar,True,1.0,True,True,high_confidence_gp_and_exact_samiti
dausa,Dausa,37069,Peechupara Kalan,peechuparakalan,Dausa,Bandikui,1,291360,Goojarwas,1,True,0.9333333333333333,peechupada kalan,peechupadakalan,BANDIKUI,once,1,1,0,GEN W,ST,bandikui,bandikui,True,1.0,True,True,high_confidence_gp_and_exact_samiti
dungarpur,Dungarpur,37410,Badoda,badoda,Dungarpur,Aspur,1,291223,Barhoda,1,True,1.0,badoda,badoda,ASPUR,once,1,1,0,ST W,ST,aspur,aspur,True,1.0,True,True,high_confidence_gp_and_exact_samiti
dungarpur,Dungarpur,37487,Oda Bada,odabada,Dungarpur,Bichhiwara,1,291551,Ora Bara,1,True,0.9333333333333333,aodabada,aodabada,BICHHIWARA,twice,2,1,1,ST W,STW,bichhiwara,bichhiwara,True,1.0,True,True,high_confidence_gp_and_exact_samiti
ganganagar,Ganganagar,37709,65 Gb,65gb,Anupgarh,Anupgarh,2,290506 | 291112,65 GB,1,True,1.0,65 gb,65gb,ANUPGARH,twice,2,1,1,GEN W,GENW,anupgarh,anupgarh,True,1.0,True,True,high_confidence_gp_and_exact_samiti
ganganagar,Ganganagar,37779,15 O,15o,Ganganagar,Karanpur,1,291715,14 O,1,True,1.0,15 o,15o,KARANPUR,twice,2,1,1,SC W,GENW,karanpur,karanpur,True,1.0,True,True,high_confidence_gp_and_exact_samiti
ganganagar,Ganganagar,37859,66 Rb,66rb,Anupgarh,Raisinghnagar,1,291046,11 PS,1,True,1.0,66 rb,66rb,RAISINGHNAGAR,never,0,0,0,OBC,SC,raisinghnagar,raisinghnagar,True,1.0,True,True,high_confidence_gp_and_exact_samiti
ganganagar,Ganganagar,37924,Sardarpura Jivan,sardarpurajivan,Ganganagar,Sadulshahar,1,290433,13 SDP  (Jameetasinghwala),1,True,0.9032258064516129,sardarpura jeevan,sardarpurajeevan,SADULSHAHAR,once,1,0,1,GEN,GENW,sadulshahar,sadulshahar,True,1.0,True,True,high_confidence_gp_and_exact_samiti
