gp_lgd_code,reserved_women_2005,reserved_women_2010,reservation_2005,reservation_2010,gp_name_res_2010,samiti_res_2010,district_res_2010,gp_name_lgd,district_lgd,subdistrict_lgd,match_stage,reservation_dose_n,reservation_dose,match_conflict_excluded
236073,0,0,GEN,GEN,gajsukhdesar,NOKHA,BIKANER,Gajsukhdesar,Bikaner,Jasrasar,B_exact_gp_district,0,never,0
236074,1,1,GEN W,OBCW,jahaz,UDAIPURWATI,JHUNJHUNU,Jahaz,Neem Ka Thana,Udaipurwati,C_unique_gp_name_statewide,2,twice,0
244177,1,0,GEN W,SC,kumbhkot,KHAIRABAD,KOTA,Kumbhkot,Kota,Ramganj Mandi,B_exact_gp_district,1,once,0
244595,1,1,GEN W,GENW,patoli,MAHWA,DAUSA,Patoli,Dausa,Mahwa,A_exact_gp_district_samiti,2,twice,0
244601,1,0,GEN W,SC,rooppura,ASIND,BHILWARA,Rooppura,Bhilwara,Asind,A_exact_gp_district_samiti,1,once,0
244605,0,1,GEN,GENW,meja,MANDAL,BHILWARA,Meja,Bhilwara,Mandal,A_exact_gp_district_samiti,1,once,0
244606,0,1,OBC,GENW,luhariya,MANDAL,BHILWARA,Luhariya,Bhilwara,Mandal,A_exact_gp_district_samiti,1,once,0
244607,1,0,GEN W,GEN,jorawarpura,MANDAL,BHILWARA,Jorawarpura,Bhilwara,Mandal,A_exact_gp_district_samiti,1,once,0
244608,0,0,GEN,SC,laduwas,MANDAL,BHILWARA,Laduwas,Bhilwara,Kareda,B_exact_gp_district,0,never,0
245548,1,0,GEN W,SC,kaniya,HURDA,BHILWARA,Kaniya,Bhilwara,Antali,B_exact_gp_district,1,once,0
262267,0,1,ST,STW,sagvadiya,GARHI,BANSWARA,Sagvadiya,Banswara,Banswara,B_exact_gp_district,1,once,0
262288,0,1,OBC,SCW,udawala,SUJANGARH,CHURU,Udawala,Jaipur (Gramin),Shahpura,C_unique_gp_name_statewide,1,once,0
262303,0,1,GEN,SCW,biramsar,RATANGARH,CHURU,Biramsar,Bikaner,Nokha,C_unique_gp_name_statewide,1,once,0
262329,0,0,GEN,GEN,fatehpura,GOVINDGARH,JAIPUR,Fatehpura,Jaipur,Kalwar,B_exact_gp_district,0,never,0
262355,0,1,GEN,GENW,sagra,BHADRA,HANUMANGARH,Sagra,Phalodi,Dechoo,C_unique_gp_name_statewide,1,once,0
262356,1,0,GEN W,OBC,aasarlai,JAITARAN,PALI,Aasarlai,Jodhpur (Gramin),Shergarh,C_unique_gp_name_statewide,1,once,0
262724,0,1,ST,OBCW,ballupura,NEEMKATHANA,SIKAR,Ballupura,Jaipur (Gramin),Chaksu,C_unique_gp_name_statewide,1,once,0
262751,0,0,GEN,GEN,kharbara,LUNKARANSAR,BIKANER,Kharbar A,Salumbar,Sarada,C_unique_gp_name_statewide,0,never,0
262788,1,1,ST W,STW,amarpura,SARADA,UDAIPUR,Amarpura,Udaipur,Barapal,B_exact_gp_district,2,twice,0
262957,0,1,GEN,GENW,kalera kanwarji,KEKRI,AJMER,Kalera Kanwarji,Kekri,Sawar,C_unique_gp_name_statewide,1,once,0
