gp_lgd_code,reserved_women_2005,reserved_women_2010,reservation_2005,reservation_2010,gp_name_res_2010,samiti_res_2010,district_res_2010,gp_name_lgd,district_lgd,subdistrict_lgd,match_stage,reservation_dose_n,reservation_dose,match_conflict_excluded
277409,0,0,ST,GEN,ramgarh,MAHWA,DAUSA,Ramgarh,Dausa,Mahwa,A_exact_gp_district_samiti,0,never,0
293954,0,1,OBC,SCW,sarana,BHINAY,AJMER,Sarana,Ajmer,Ajmer,B_exact_gp_district,1,once,0
293957,1,1,GEN W,GENW,tajpura,BASERI,DHOLPUR,Tajpura,Kekri,Sarwar,C_unique_gp_name_statewide,2,twice,0
294066,0,1,GEN,GENW,ramsara,NOHAR,HANUMANGARH,Ramsara,Bikaner,Lunkaransar,C_unique_gp_name_statewide,1,once,0
294068,1,1,ST W,STW,mohakampura,KUSHALGARH,BANSWARA,Mohakampura,Bikaner,Lunkaransar,C_unique_gp_name_statewide,2,twice,0
294161,1,0,ST W,ST,ratadiya,SIMALWARA,DUNGARPUR,Ratadiya,Baran,Anta,C_unique_gp_name_statewide,1,once,0
294221,0,0,GEN,GEN,kailash nagar,SHEOGANJ,SIROHI,Kailashnagar,Karauli,Hindaun,C_unique_gp_name_statewide,0,never,0
294263,1,0,GEN W,SC,kohra,BAYANA,BHARATPUR,Kohra,Jaisalmer,Fatehgarh,C_unique_gp_name_statewide,1,once,0
294377,0,1,OBC,OBCW,khokhra,SOJAT,PALI,Khokhra,Udaipur,Kotra,C_unique_gp_name_statewide,1,once,0
294381,0,0,SC,OBC,dangra,SAYLA,JALORE,Dangra,Sanchore,Sanchore,C_unique_gp_name_statewide,0,never,0
294553,0,0,GEN,SC,jawasiya,RAILMAGRA,RAJSAMAND,Jawasiya,Jodhpur (Gramin),Pipar Shahar,C_unique_gp_name_statewide,0,never,0
294680,1,1,SC W,STW,thikariya,SIKRAI,DAUSA,Thikariya,Dausa,Lawan,B_exact_gp_district,2,twice,0
294786,0,0,GEN,GEN,beechi,SHAHBAD,BARAN,Beechi,Jaipur (Gramin),Madhorajpura,C_unique_gp_name_statewide,0,never,0
294792,0,0,GEN,SC,shyosinghpura,JHOTWARA,JAIPUR,Shyosinghpura,Jaipur (Gramin),Shahpura,C_unique_gp_name_statewide,0,never,0
294839,0,0,GEN,OBC,dhandhela,NOHAR,HANUMANGARH,Dhandhela,Neem Ka Thana,Patan,C_unique_gp_name_statewide,0,never,0
294882,1,1,SC W,GENW,roda,NOKHA,BIKANER,Roda,Dungarpur,Jhonthripal,C_unique_gp_name_statewide,2,twice,0
294927,1,0,GEN W,OBC,karanpura,BHADRA,HANUMANGARH,Karanpura,Sikar,Danta Ramgarh,C_unique_gp_name_statewide,1,once,0
295084,1,0,GEN W,ST,devta,KOTPUTLI,JAIPUR,Devta,Neem Ka Thana,Khetri,C_unique_gp_name_statewide,1,once,0
295174,1,0,GEN W,ST,akoli,JALORE,JALORE,Akoli,Khairthal-Tijara,Kotkasim,C_unique_gp_name_statewide,1,once,0
295276,0,0,OBC,OBC,thekada,MAHWA,DAUSA,Thekada,Alwar,Alwar,C_unique_gp_name_statewide,0,never,0
295284,1,1,GEN W,SCW,chomu,BALESAR,JODHPUR,Chomu,Alwar,Malakhera,C_unique_gp_name_statewide,2,twice,0
295508,0,1,GEN,GENW,devnagar,PEESANGAN,AJMER,Devnagar,Barmer,Gudha Malani,C_unique_gp_name_statewide,1,once,0
33587,0,1,SC,GENW,ajgara,ARAI,AJMER,Ajgara,Kekri,Sarwar,C_unique_gp_name_statewide,1,once,0
33588,0,0,GEN,OBC,aakodiya,CHAKSU,JAIPUR,Aakodiya,Ajmer,Arain,C_unique_gp_name_statewide,0,never,0
33592,0,0,GEN,OBC,bhogadeet,ARAI,AJMER,Bhogadeet,Ajmer,Arain,B_exact_gp_district,0,never,0
33593,1,1,SC W,OBCW,birla,ARAI,AJMER,Birla,Kekri,Sarwar,C_unique_gp_name_statewide,2,twice,0
33595,0,1,GEN,SCW,dadiya,ARAI,AJMER,Dadiya,Ajmer,Arain,B_exact_gp_district,1,once,0
33599,0,0,GEN,GEN,gothiyana,ARAI,AJMER,Gothiyana,Ajmer,Arain,B_exact_gp_district,0,never,0
33600,1,1,OBC W,SCW,harpura,ARAI,AJMER,Harpura,Kekri,Sarwar,C_unique_gp_name_statewide,2,twice,0
33602,0,0,SC,GEN,jheerota,ARAI,AJMER,Jheerota,Ajmer,Arain,B_exact_gp_district,0,never,0
33603,0,0,GEN,GEN,kalanada,ARAI,AJMER,Kalanada,Ajmer,Arain,B_exact_gp_district,0,never,0
33606,0,1,OBC,GENW,kheeriya,ARAI,AJMER,Kheeriya,Kekri,Sarwar,C_unique_gp_name_statewide,1,once,0
33607,0,0,GEN,GEN,lallai,ARAI,AJMER,Lallai,Kekri,Sarwar,C_unique_gp_name_statewide,0,never,0
33609,0,0,OBC,GEN,mandawariya,ARAI,AJMER,Mandawariya,Ajmer,Arain,B_exact_gp_district,0,never,0
33611,1,0,GEN W,GEN,rampali,ARAI,AJMER,Rampali,Kekri,Sarwar,C_unique_gp_name_statewide,1,once,0
33612,1,1,OBC W,SCW,sandoliya,ARAI,AJMER,Sandoliya,Ajmer,Arain,B_exact_gp_district,2,twice,0
33615,1,1,GEN W,GENW,soonpa,ARAI,AJMER,Soonpa,Kekri,Sarwar,C_unique_gp_name_statewide,2,twice,0
33616,0,0,GEN,OBC,syar,ARAI,AJMER,Syar,Kekri,Sarwar,C_unique_gp_name_statewide,0,never,0
33617,1,0,GEN W,GEN,bandanwara,BHINAY,AJMER,Bandanwara,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33621,1,0,SC W,GEN,bhagwantpura,BHINAY,AJMER,Bhagwantpura,Kekri,Sarwar,C_unique_gp_name_statewide,1,once,0
33622,0,0,SC,GEN,bhinay,BHINAY,AJMER,Bhinay,Kekri,Bhinay,C_unique_gp_name_statewide,0,never,0
33623,0,0,GEN,SC,boobkiya,BHINAY,AJMER,Boobkiya,Kekri,Bhinay,C_unique_gp_name_statewide,0,never,0
33624,0,0,GEN,GEN,chapaneri,BHINAY,AJMER,Chapaneri,Kekri,Bhinay,C_unique_gp_name_statewide,0,never,0
33626,0,1,GEN,SCW,dabrela,BHINAY,AJMER,Dabrela,Kekri,Sarwar,C_unique_gp_name_statewide,1,once,0
33628,1,0,OBC W,SC,dhantol,BHINAY,AJMER,Dhantol,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33634,0,0,GEN,OBC,karanti,BHINAY,AJMER,Karanti,Kekri,Bhinay,C_unique_gp_name_statewide,0,never,0
33635,0,0,SC,OBC,kebaniya,BHINAY,AJMER,Kebaniya,Kekri,Tantoti,C_unique_gp_name_statewide,0,never,0
33636,1,1,OBC W,GENW,kerot,BHINAY,AJMER,Kerot,Kekri,Bhinay,C_unique_gp_name_statewide,2,twice,0
33637,1,1,GEN W,GENW,kumhariya,BHINAY,AJMER,Kumhariya,Kekri,Bhinay,C_unique_gp_name_statewide,2,twice,0
33638,0,1,SC,OBCW,lamgara,BHINAY,AJMER,Lamgara,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33639,1,0,SC W,ST,nagola,BHINAY,AJMER,Nagola,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33640,0,0,GEN,GEN,nandsi,BHINAY,AJMER,Nandsi,Kekri,Bhinay,C_unique_gp_name_statewide,0,never,0
33642,0,1,GEN,SCW,padanga,BHINAY,AJMER,Padanga,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33643,0,1,GEN,GENW,rammaliya,BHINAY,AJMER,Rammaliya,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33644,0,0,GEN,GEN,ratakot,BHINAY,AJMER,Ratakot,Kekri,Bhinay,C_unique_gp_name_statewide,0,never,0
33648,1,0,GEN W,GEN,shokaliya,BHINAY,AJMER,Shokaliya,Kekri,Sarwar,C_unique_gp_name_statewide,1,once,0
33649,0,1,GEN,OBCW,singawal,BHINAY,AJMER,Singawal,Kekri,Bhinay,C_unique_gp_name_statewide,1,once,0
33653,0,0,GEN,GEN,ateetmand,JAWAJA,AJMER,Ateetmand,Beawar,Beawar,C_unique_gp_name_statewide,0,never,0
33660,0,0,OBC,GEN,beawarkhas,JAWAJA,AJMER,Beawar Khas,Beawar,Beawar,C_unique_gp_name_statewide,0,never,0
33662,0,1,GEN,OBCW,dewata,JAWAJA,AJMER,Dewata,Beawar,Beawar,C_unique_gp_name_statewide,1,once,0
33663,0,1,OBC,GENW,durgawas,JAWAJA,AJMER,Durgawas,Beawar,Beawar,C_unique_gp_name_statewide,1,once,0
33664,1,1,OBC W,GENW,gohana,JAWAJA,AJMER,Gohana,Beawar,Beawar,C_unique_gp_name_statewide,2,twice,0
33666,1,0,GEN W,SC,jawaja,JAWAJA,AJMER,Jawaja,Beawar,Beawar,C_unique_gp_name_statewide,1,once,0
33670,1,1,GEN W,GENW,lotiyana,JAWAJA,AJMER,Lotiyana,Beawar,Beawar,C_unique_gp_name_statewide,2,twice,0
33673,0,0,SC,OBC,naikalan,JAWAJA,AJMER,Nai Kalan,Beawar,Beawar,C_unique_gp_name_statewide,0,never,0
33674,0,1,SC,OBCW,narbadkhera,JAWAJA,AJMER,Narbad Khera,Beawar,Beawar,C_unique_gp_name_statewide,1,once,0
33677,1,0,GEN W,GEN,rajiyawas,JAWAJA,AJMER,Rajiyawas,Beawar,Beawar,C_unique_gp_name_statewide,1,once,0
33679,0,1,GEN,GENW,roopnagar,JAWAJA,AJMER,Roopnagar,Beawar,Beawar,C_unique_gp_name_statewide,1,once,0
33680,0,0,GEN,OBC,sarmaliya,JAWAJA,AJMER,Sarmaliya,Beawar,Beawar,C_unique_gp_name_statewide,0,never,0
33682,0,0,GEN,OBC,suhawa,JAWAJA,AJMER,Suhawa,Beawar,Beawar,C_unique_gp_name_statewide,0,never,0
33685,1,1,GEN W,GENW,taragarh,JAWAJA,AJMER,Taragarh,Beawar,Beawar,C_unique_gp_name_statewide,2,twice,0
33686,1,0,GEN W,GEN,tatgarh,JAWAJA,AJMER,Tatgarh,Beawar,Tatgarh,C_unique_gp_name_statewide,1,once,0
33687,0,0,GEN,SC,aloli,KEKRI,AJMER,Aloli,Kekri,Sawar,C_unique_gp_name_statewide,0,never,0
33688,1,1,SC,GENW,baghera,KEKRI,AJMER,Baghera,Kekri,Kekri,C_unique_gp_name_statewide,2,twice,0
33689,0,0,GEN,SC,bajta,KEKRI,AJMER,Bajta,Kekri,Sawar,C_unique_gp_name_statewide,0,never,0
33690,0,0,SC,GEN,bharai,KEKRI,AJMER,Bharai,Kekri,Kekri,C_unique_gp_name_statewide,0,never,0
33695,1,1,GEN W,GENW,dhoondhari,KEKRI,AJMER,Dhoondhari,Kekri,Kekri,C_unique_gp_name_statewide,2,twice,0
33696,1,1,GEN W,SCW,ghatiyali,KEKRI,AJMER,Ghatiyali,Kekri,Sawar,C_unique_gp_name_statewide,2,twice,0
33698,0,0,GEN,SC,gordha,KEKRI,AJMER,Gordha,Kekri,Sawar,C_unique_gp_name_statewide,0,never,0
33699,0,0,GEN,GEN,gulgaon,KEKRI,AJMER,Gulgaon,Kekri,Kekri,C_unique_gp_name_statewide,0,never,0
33702,0,0,OBC,GEN,kalera krishna gopal,KEKRI,AJMER,Kalera Krishna Gopal,Kekri,Kekri,C_unique_gp_name_statewide,0,never,0
33703,0,1,SC,OBCW,kanoj,KEKRI,AJMER,Kanoj,Kekri,Kekri,C_unique_gp_name_statewide,1,once,0
33704,0,0,ST,GEN,khawas,KEKRI,AJMER,Khawas,Kekri,Kekri,C_unique_gp_name_statewide,0,never,0
33705,1,1,OBC W,STW,kushayata,KEKRI,AJMER,Kushayata,Kekri,Sawar,C_unique_gp_name_statewide,2,twice,0
33709,0,1,ST,GENW,molkiya,KEKRI,AJMER,Molkiya,Kekri,Kekri,C_unique_gp_name_statewide,1,once,0
33712,1,1,GEN W,GENW,pranheda,KEKRI,AJMER,Pranheda,Kekri,Kekri,C_unique_gp_name_statewide,2,twice,0
33717,0,1,GEN,SCW,tankawas,KEKRI,AJMER,Tankawas,Kekri,Sawar,C_unique_gp_name_statewide,1,once,0
33718,0,1,OBC,GENW,amarpura,KISHANGARH,AJMER,Amarpura,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33720,0,0,GEN,OBC,barna,KISHANGARH,AJMER,Barna,Ajmer,Kishangarh,A_exact_gp_district_samiti,0,never,0
33725,1,0,SC W,OBC,jajota,KISHANGARH,AJMER,Jajota,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33726,1,0,GEN W,SC,kadha,KISHANGARH,AJMER,Kadha,Ajmer,Kishangarh,A_exact_gp_district_samiti,1,once,0
33727,0,1,GEN,SCW,karkeri,KISHANGARH,AJMER,Karkeri,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33728,0,0,GEN,GEN,khatoli,KISHANGARH,AJMER,Khatoli,Ajmer,Kishangarh,A_exact_gp_district_samiti,0,never,0
33731,0,1,GEN,GENW,kucheel,KISHANGARH,AJMER,Kucheel,Ajmer,Kishangarh,A_exact_gp_district_samiti,1,once,0
33732,0,1,OBC,GENW,naloo,KISHANGARH,AJMER,Naloo,Ajmer,Kishangarh,A_exact_gp_district_samiti,1,once,0
33734,0,0,GEN,GEN,nosal,KISHANGARH,AJMER,Nosal,Ajmer,Roopangarh,B_exact_gp_district,0,never,0
33735,0,0,GEN,OBC,paner,KISHANGARH,AJMER,Paner,Ajmer,Roopangarh,B_exact_gp_district,0,never,0
33736,0,0,GEN,GEN,patan,KISHANGARH,AJMER,Patan,Ajmer,Kishangarh,A_exact_gp_district_samiti,0,never,0
33737,1,0,GEN W,SC,peenglod,KISHANGARH,AJMER,Peenglod,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33739,0,1,GEN,GENW,roopangarh,KISHANGARH,AJMER,Roopangarh,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33740,1,1,SC W,OBCW,salemabad,KISHANGARH,AJMER,Salemabad,Ajmer,Arain,B_exact_gp_district,2,twice,0
33741,1,0,OBC W,GEN,sargaon,KISHANGARH,AJMER,Sargaon,Ajmer,Kishangarh,A_exact_gp_district_samiti,1,once,0
33742,0,0,GEN,GEN,silora,KISHANGARH,AJMER,Silora,Ajmer,Kishangarh,A_exact_gp_district_samiti,0,never,0
33743,1,1,GEN W,OBCW,sinodiya,KISHANGARH,AJMER,Sinodiya,Ajmer,Roopangarh,B_exact_gp_district,2,twice,0
33744,0,1,GEN,GENW,sursura,KISHANGARH,AJMER,Sursura,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33745,1,0,OBC W,GEN,thal,KISHANGARH,AJMER,Thal,Ajmer,Roopangarh,B_exact_gp_district,1,once,0
33747,0,1,OBC,SCW,tiloniya,KISHANGARH,AJMER,Tiloniya,Ajmer,Arain,B_exact_gp_district,1,once,0
33748,0,0,GEN,GEN,tyod,KISHANGARH,AJMER,Tyod,Ajmer,Roopangarh,B_exact_gp_district,0,never,0
33750,0,1,SC,GENW,baral -ii,MASUDA,AJMER,Baral-Ii,Beawar,Vijaynagar,C_unique_gp_name_statewide,1,once,0
33753,0,0,GEN,GEN,daulatpura - i,MASUDA,AJMER,Daulatpura-I,Beawar,Masuda,C_unique_gp_name_statewide,0,never,0
33754,0,0,GEN,GEN,daulatpura - ii,MASUDA,AJMER,Daulatpura-Ii,Beawar,Vijaynagar,C_unique_gp_name_statewide,0,never,0
33757,0,0,OBC,GEN,dholadanta,MASUDA,AJMER,Dhola Danta,Beawar,Masuda,C_unique_gp_name_statewide,0,never,0
33759,0,0,GEN,GEN,harrajpura,MASUDA,AJMER,Harrajpura,Beawar,Masuda,C_unique_gp_name_statewide,0,never,0
33760,1,0,GEN W,SC,jaliya - ii,MASUDA,AJMER,Jaliya II,Beawar,Vijaynagar,C_unique_gp_name_statewide,1,once,0
33761,0,0,OBC,GEN,jamola,MASUDA,AJMER,Jamola,Beawar,Masuda,C_unique_gp_name_statewide,0,never,0
33767,0,0,GEN,GEN,kirap,MASUDA,AJMER,Kirap,Beawar,Masuda,C_unique_gp_name_statewide,0,never,0
33768,0,1,SC,OBCW,lodiyana,MASUDA,AJMER,Lodiyana,Beawar,Vijaynagar,C_unique_gp_name_statewide,1,once,0
33769,0,1,GEN,GENW,loolwa,MASUDA,AJMER,Loolwa,Beawar,Masuda,C_unique_gp_name_statewide,1,once,0
33777,0,1,ST,SCW,sathana,MASUDA,AJMER,Sathana,Beawar,Vijaynagar,C_unique_gp_name_statewide,1,once,0
33781,0,0,GEN,GEN,baghsuri,PEESANGAN,AJMER,Baghsuri,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33783,0,0,SC,OBC,bhanwta,PEESANGAN,AJMER,Bhanwta,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33784,0,0,GEN,GEN,bhatiyani,PEESANGAN,AJMER,Bhatiyani,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33786,1,1,GEN W,GENW,bhawanikhera,PEESANGAN,AJMER,Bhawani Khera,Ajmer,Nasirabad,B_exact_gp_district,2,twice,0
33789,0,1,OBC,GENW,budhwara,PEESANGAN,AJMER,Budhwara,Ajmer,Peesangan,A_exact_gp_district_samiti,1,once,0
33794,1,1,GEN W,GENW,dodiyana,PEESANGAN,AJMER,Dodiyana,Ajmer,Peesangan,A_exact_gp_district_samiti,2,twice,0
33796,0,1,GEN,OBCW,ganahera,PEESANGAN,AJMER,Ganahera,Ajmer,Pushkar,B_exact_gp_district,1,once,0
33797,1,1,GEN W,OBCW,gola,PEESANGAN,AJMER,Gola,Ajmer,Peesangan,A_exact_gp_district_samiti,2,twice,0
33798,0,0,OBC,SC,govindgarh,PEESANGAN,AJMER,Govindgarh,Ajmer,Peesangan,A_exact_gp_district_samiti,0,never,0
33800,1,1,SC W,GENW,jethana,PEESANGAN,AJMER,Jethana,Ajmer,Peesangan,A_exact_gp_district_samiti,2,twice,0
33803,0,0,SC,GEN,kalesara,PEESANGAN,AJMER,Kalesara,Ajmer,Peesangan,A_exact_gp_district_samiti,0,never,0
33804,0,0,OBC,GEN,karnos,PEESANGAN,AJMER,Karnos,Ajmer,Peesangan,A_exact_gp_district_samiti,0,never,0
33806,1,0,GEN W,GEN,khori,PEESANGAN,AJMER,Khori,Ajmer,Pushkar,B_exact_gp_district,1,once,0
33807,0,1,GEN,GENW,lamana,PEESANGAN,AJMER,Lamana,Ajmer,Peesangan,A_exact_gp_district_samiti,1,once,0
33809,0,0,GEN,OBC,makrera,PEESANGAN,AJMER,Makrera,Ajmer,Peesangan,A_exact_gp_district_samiti,0,never,0
33815,1,0,GEN W,OBC,nyara,PEESANGAN,AJMER,Nyara,Ajmer,Nasirabad,B_exact_gp_district,1,once,0
33816,1,1,GEN W,SCW,pagara,PEESANGAN,AJMER,Pagara,Ajmer,Peesangan,A_exact_gp_district_samiti,2,twice,0
33817,0,1,OBC,SCW,peesangan,PEESANGAN,AJMER,Peesangan,Ajmer,Peesangan,A_exact_gp_district_samiti,1,once,0
33818,1,1,OBC W,GENW,picholiya,PEESANGAN,AJMER,Picholiya,Ajmer,Peesangan,A_exact_gp_district_samiti,2,twice,0
33819,0,0,GEN,GEN,rajgarh,PEESANGAN,AJMER,Rajgarh,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33820,0,0,GEN,GEN,rajosi,PEESANGAN,AJMER,Rajosi,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33821,0,0,GEN,OBC,rampura dabla,PEESANGAN,AJMER,Rampura Dabla,Ajmer,Peesangan,A_exact_gp_district_samiti,0,never,0
33822,1,0,SC W,GEN,saradhana,PEESANGAN,AJMER,Saradhana,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33825,1,0,GEN W,SC,tilora,PEESANGAN,AJMER,Tilora,Ajmer,Pushkar,B_exact_gp_district,1,once,0
33826,0,0,GEN,GEN,ajaysar,SRINAGAR,AJMER,Ajaysar,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33827,1,1,OBC W,GENW,aradka,SRINAGAR,AJMER,Aradka,Ajmer,Ajmer,B_exact_gp_district,2,twice,0
33828,0,0,GEN,GEN,babayacha,SRINAGAR,AJMER,Babayacha,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33830,0,1,OBC,GENW,beer,SRINAGAR,AJMER,Beer,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33832,1,0,GEN W,OBC,bubani,SRINAGAR,AJMER,Bubani,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33833,0,1,OBC,GENW,chachiyawas,SRINAGAR,AJMER,Chachiyawas,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33834,0,1,GEN,OBCW,danta,SRINAGAR,AJMER,Danta,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33835,1,1,SC W,GENW,dhal,SRINAGAR,AJMER,Dhal,Ajmer,Nasirabad,B_exact_gp_district,2,twice,0
33836,1,1,OBC W,GENW,dilwara,SRINAGAR,AJMER,Dilwara,Ajmer,Nasirabad,B_exact_gp_district,2,twice,0
33837,0,0,SC,GEN,gagwana,SRINAGAR,AJMER,Gagwana,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33838,1,0,OBC W,GEN,gegal,SRINAGAR,AJMER,Gegal,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33840,0,0,GEN,OBC,godiyawas,SRINAGAR,AJMER,Godiyawas,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33842,0,1,GEN,GENW,kanakheri,SRINAGAR,AJMER,Kana Kheri,Ajmer,Nasirabad,B_exact_gp_district,1,once,0
33843,0,0,GEN,SC,kanpura,SRINAGAR,AJMER,Kanpura,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33844,0,1,GEN,OBCW,kayampura,SRINAGAR,AJMER,Kayampura,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33845,1,1,GEN W,SCW,lavera,SRINAGAR,AJMER,Lavera,Ajmer,Nasirabad,B_exact_gp_district,2,twice,0
33846,0,1,GEN,GENW,loharwara,SRINAGAR,AJMER,Loharwara,Ajmer,Nasirabad,B_exact_gp_district,1,once,0
33850,0,0,GEN,OBC,narwar,SRINAGAR,AJMER,Narwar,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33852,0,0,GEN,GEN,palra,SRINAGAR,AJMER,Palra,Ajmer,Ajmer,B_exact_gp_district,0,never,0
33853,1,1,GEN W,GENW,pharkiya,SRINAGAR,AJMER,Pharkiya,Ajmer,Nasirabad,B_exact_gp_district,2,twice,0
33854,0,1,GEN,OBCW,ramner dhani,SRINAGAR,AJMER,Ramner Dhani,Ajmer,Ajmer,B_exact_gp_district,1,once,0
33855,0,1,GEN,GENW,ramsar,SRINAGAR,AJMER,Ramsar,Ajmer,Nasirabad,B_exact_gp_district,1,once,0
33857,1,1,GEN W,SCW,samproda,SRINAGAR,AJMER,Samproda,Ajmer,Nasirabad,B_exact_gp_district,2,twice,0
33858,0,0,SC,GEN,sanod,SRINAGAR,AJMER,Sanod,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33860,1,0,GEN W,OBC,srinagar,SRINAGAR,AJMER,Srinagar,Ajmer,Nasirabad,B_exact_gp_district,1,once,0
33861,0,0,GEN,SC,tihari,SRINAGAR,AJMER,Tihari,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33862,0,0,OBC,GEN,tilana,SRINAGAR,AJMER,Tilana,Ajmer,Nasirabad,B_exact_gp_district,0,never,0
33866,0,1,GEN,OBCW,balawas,BANSUR,ALWAR,Balawas,Kotputli-Behror,Bansur,C_unique_gp_name_statewide,1,once,0
33869,1,0,ST W,SC,basdayal,BANSUR,ALWAR,Bas Dayal,Kotputli-Behror,Narayanpur,C_unique_gp_name_statewide,1,once,0
33872,0,1,GEN,GENW,bilali,BANSUR,ALWAR,Bilali,Kotputli-Behror,Narayanpur,C_unique_gp_name_statewide,1,once,0
33889,0,1,GEN,STW,loyati,BANSUR,ALWAR,Loyati,Kotputli-Behror,Bansur,C_unique_gp_name_statewide,1,once,0
33893,1,1,OBC W,GENW,nangal lakha,BANSUR,ALWAR,Nangal Lakha,Kotputli-Behror,Bansur,C_unique_gp_name_statewide,2,twice,0
33906,0,1,OBC,GENW,gandala,BEHROR,ALWAR,Gandala,Kotputli-Behror,Behror,C_unique_gp_name_statewide,1,once,0
33912,1,1,SC W,GENW,jakhranakalan,BEHROR,ALWAR,Jakhrana Kalan,Kotputli-Behror,Behror,C_unique_gp_name_statewide,2,twice,0
