DHSCLUST,total_villages,villages_with_gp,gp_coverage_rate
9902.0,39,39,1.0
9903.0,37,37,1.0
9905.0,40,40,1.0
9906.0,36,36,1.0
9907.0,38,38,1.0
9908.0,46,46,1.0
9909.0,13,13,1.0
9910.0,31,31,1.0
9911.0,37,37,1.0
9912.0,43,43,1.0
9913.0,44,44,1.0
9914.0,24,24,1.0
9915.0,46,46,1.0
9917.0,33,33,1.0
9919.0,39,39,1.0
9920.0,20,20,1.0
9922.0,52,52,1.0
9923.0,38,38,1.0
9924.0,33,33,1.0
9925.0,13,13,1.0
9929.0,27,27,1.0
9930.0,20,20,1.0
9931.0,32,32,1.0
9932.0,23,23,1.0
9933.0,46,46,1.0
9934.0,35,35,1.0
9935.0,50,50,1.0
9939.0,63,63,1.0
9940.0,39,39,1.0
9941.0,36,36,1.0
9942.0,54,54,1.0
9943.0,38,38,1.0
9945.0,29,29,1.0
10002.0,32,32,1.0
10003.0,27,27,1.0
10005.0,18,18,1.0
10006.0,19,19,1.0
10007.0,32,32,1.0
10008.0,44,44,1.0
10009.0,30,30,1.0
10010.0,10,10,1.0
10011.0,23,23,1.0
10012.0,7,7,1.0
10013.0,33,33,1.0
10014.0,12,12,1.0
10015.0,9,9,1.0
10017.0,22,22,1.0
10018.0,6,6,1.0
10019.0,31,31,1.0
10020.0,26,26,1.0
10022.0,26,26,1.0
10023.0,11,11,1.0
10024.0,31,31,1.0
10025.0,31,31,1.0
10027.0,32,32,1.0
10029.0,12,12,1.0
10030.0,35,35,1.0
10031.0,10,10,1.0
10032.0,20,20,1.0
10033.0,33,33,1.0
10034.0,29,29,1.0
10035.0,17,17,1.0
10039.0,7,7,1.0
10040.0,25,25,1.0
10041.0,27,27,1.0
10042.0,8,8,1.0
10043.0,38,38,1.0
10044.0,20,20,1.0
10045.0,26,26,1.0
10102.0,10,10,1.0
10103.0,11,11,1.0
10105.0,6,6,1.0
10106.0,6,6,1.0
10107.0,11,11,1.0
10108.0,6,6,1.0
10109.0,6,6,1.0
10110.0,2,2,1.0
10111.0,8,8,1.0
10112.0,7,7,1.0
10113.0,8,8,1.0
10114.0,4,4,1.0
10115.0,7,7,1.0
10117.0,7,7,1.0
10120.0,2,2,1.0
10122.0,6,6,1.0
10123.0,5,5,1.0
10125.0,2,2,1.0
10129.0,4,4,1.0
10130.0,3,3,1.0
10131.0,6,6,1.0
10132.0,6,6,1.0
10133.0,6,6,1.0
10134.0,5,5,1.0
10135.0,4,4,1.0
10139.0,9,9,1.0
10141.0,5,5,1.0
10142.0,7,7,1.0
10143.0,6,6,1.0
10145.0,6,6,1.0
10202.0,11,11,1.0
10203.0,11,11,1.0
10205.0,11,11,1.0
10206.0,21,21,1.0
10207.0,8,8,1.0
10208.0,7,7,1.0
10209.0,8,8,1.0
10210.0,14,14,1.0
10211.0,11,11,1.0
10212.0,10,10,1.0
10213.0,14,14,1.0
10214.0,7,7,1.0
10215.0,12,12,1.0
10217.0,10,10,1.0
10220.0,7,7,1.0
10222.0,10,10,1.0
10223.0,12,12,1.0
10224.0,7,7,1.0
10225.0,11,11,1.0
10229.0,10,10,1.0
10230.0,11,11,1.0
10231.0,10,10,1.0
10232.0,13,13,1.0
10233.0,12,12,1.0
10234.0,8,8,1.0
10235.0,9,9,1.0
10239.0,8,8,1.0
10240.0,9,9,1.0
10241.0,12,12,1.0
10242.0,15,15,1.0
10243.0,13,13,1.0
10245.0,17,17,1.0
10302.0,28,28,1.0
10303.0,19,19,1.0
10305.0,19,19,1.0
10306.0,22,22,1.0
