DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
290090.0,R,Ganganagar,NFHS4,5000,37835.0,0.313,9,8,"{37835.0: 313, 37837.0: 307, 37834.0: 155, 37894.0: 122, 37869.0: 36, 262682.0: 26, 37948.0: 20, 37950.0: 12, 37843.0: 1}"
290092.0,R,Ganganagar,NFHS4,5000,37833.0,0.459,9,0,"{37833.0: 459, 37824.0: 170, 37829.0: 151, 37819.0: 101, 37817.0: 98, 37828.0: 10, 37836.0: 6, 37847.0: 4, 37831.0: 1}"
290235.0,R,Ganganagar,NFHS4,5000,37962.0,0.438,2,552,"{37962.0: 438, 37961.0: 10}"
290250.0,R,Ganganagar,NFHS4,5000,37835.0,0.389,7,44,"{37835.0: 389, 37834.0: 337, 37837.0: 129, 37830.0: 59, 37894.0: 21, 37843.0: 19, 37958.0: 2}"
290356.0,U,Ganganagar,NFHS4,2000,262736.0,0.35,4,449,"{262736.0: 350, 37773.0: 107, 262730.0: 71, 294628.0: 23}"
290397.0,U,Ganganagar,NFHS4,2000,37954.0,0.195,1,805,{37954.0: 195}
290416.0,R,Ganganagar,NFHS4,5000,37810.0,0.387,8,307,"{37810.0: 387, 37783.0: 129, 37801.0: 83, 37777.0: 37, 37779.0: 20, 37811.0: 17, 37805.0: 12, 37809.0: 8}"
290433.0,R,Ganganagar,NFHS4,5000,37922.0,0.323,8,95,"{37922.0: 323, 37924.0: 234, 37916.0: 137, 37923.0: 107, 37903.0: 45, 262757.0: 30, 37917.0: 24, 37919.0: 5}"
290465.0,R,Ganganagar,NFHS4,5000,37920.0,0.369,6,187,"{37920.0: 369, 37911.0: 174, 37897.0: 174, 37918.0: 47, 37910.0: 45, 37909.0: 4}"
290505.0,U,Ganganagar,NFHS4,2000,294631.0,0.485,5,0,"{294631.0: 485, 37669.0: 394, 262414.0: 73, 37680.0: 36, 37665.0: 12}"
290506.0,R,Ganganagar,NFHS4,5000,37709.0,0.471,8,20,"{37709.0: 471, 37695.0: 130, 37715.0: 113, 37701.0: 103, 37708.0: 75, 37716.0: 50, 37661.0: 34, 37700.0: 4}"
290661.0,R,Ganganagar,NFHS4,5000,37780.0,0.305,9,121,"{37780.0: 305, 37807.0: 286, 37785.0: 98, 37881.0: 94, 37778.0: 36, 37876.0: 29, 37786.0: 25, 37892.0: 4, 37808.0: 2}"
290697.0,R,Ganganagar,NFHS4,5000,37948.0,0.425,13,3,"{37948.0: 425, 37938.0: 191, 37928.0: 170, 37958.0: 53, 262726.0: 32, 37835.0: 31, 37945.0: 31, 37837.0: 22, 37937.0: 15, 262682.0: 11, 37953.0: 10, 37955.0: 5, 37930.0: 1}"
290780.0,R,Ganganagar,NFHS4,5000,37747.0,0.363,10,24,"{37747.0: 363, 37772.0: 223, 37744.0: 193, 37748.0: 33, 294628.0: 33, 37738.0: 32, 37752.0: 30, 37740.0: 30, 37749.0: 20, 37776.0: 19}"
290797.0,R,Ganganagar,NFHS4,5000,37879.0,0.346,11,161,"{37879.0: 346, 37885.0: 174, 37864.0: 145, 37890.0: 138, 37891.0: 17, 37889.0: 10, 37865.0: 4, 37867.0: 2, 37722.0: 1, 37883.0: 1, 37860.0: 1}"
290866.0,R,Ganganagar,NFHS4,5000,37699.0,0.353,7,0,"{37699.0: 353, 37693.0: 327, 37695.0: 123, 37728.0: 93, 37668.0: 60, 37694.0: 27, 37661.0: 17}"
290938.0,R,Ganganagar,NFHS4,5000,262414.0,0.289,10,0,"{262414.0: 289, 37680.0: 195, 37658.0: 178, 37724.0: 88, 37704.0: 55, 294631.0: 51, 37655.0: 50, 37669.0: 40, 37652.0: 34, 37665.0: 20}"
290943.0,R,Ganganagar,NFHS4,5000,37645.0,0.448,6,0,"{37645.0: 448, 37717.0: 294, 37726.0: 111, 37727.0: 73, 37716.0: 67, 37659.0: 7}"
291035.0,U,Ganganagar,NFHS4,2000,37743.0,0.48,6,391,"{37743.0: 480, 37733.0: 93, 294628.0: 20, 37745.0: 10, 37773.0: 4, 262736.0: 2}"
291046.0,R,Ganganagar,NFHS4,5000,37859.0,0.425,11,20,"{37859.0: 425, 37861.0: 153, 37848.0: 151, 37852.0: 128, 37849.0: 46, 37877.0: 37, 37880.0: 19, 37866.0: 11, 37828.0: 5, 37856.0: 4, 37871.0: 1}"
291074.0,R,Ganganagar,NFHS4,5000,37808.0,0.4,7,139,"{37808.0: 400, 37786.0: 173, 37780.0: 117, 37785.0: 107, 37801.0: 46, 37811.0: 10, 37876.0: 8}"
